word	len	pts	n	nCur	fieldRate	myRate	myRateCur	strongRate	topQRate	reachClass	share_freeCur	share_dropTerminalCur	share_cellmateCur	hookStem	cellmateOf	observedHost	family	qCur	gainPerGameCur	gainPerGameAll	dead	everAccepted
TAROT	5	800	357	103	0.054622	0.05042	0.058252	0.018182	0.075	free	0.85437	0	0	TAR		TAR	TAR	0.63111	16.476	18.679	False	True
ARENITE	7	1800	151	40	0.0066225	0.0066225	0	0	0	free	0.925	0	0	REN		NITE	REN	0.65507	16.463	17.463	False	True
SEREIN	6	1400	236	77	0.0063559	0	0	0.053571	0.034483	free	0.58442	0	0.012987			SERE	SERE	0.43725	16.452	15.552	False	True
ESCAR	5	800	283	102	0.028269	0.04947	0.039216	0	0	free	0.83333	0	0.029412	CAR	CARES,CARSE	CAR	CAR	0.61593	16.426	14.657	False	True
RETRO	5	800	388	133	0.003866	0.0025773	0	0.028571	0	free	0.59398	0	0	RET		RET	RET	0.44216	16.421	15.652	False	True
TIERED	6	1400	145	62	0.096552	0.041379	0.080645	0.11538	0.16667	free	0.83871	0	0	TIE		TIER	TIE	0.62117	16.376	11.278	False	True
ARENAS	6	1400	227	59	0	0	0	0	0	free	0.76271	0	0	REN		ARE	REN	0.56621	16.324	20.463	False	False
TENESI	6	1400	213	57	0	0	0	0	0	free	0.78947	0	0			TENES	TENES	0.58556	16.31	15.725	False	False
TORSI	5	800	373	130	0.037534	0.040214	0.053846	0.060606	0.052632	free	0.67692	0	0.076923	TOR		TORS	TOR	0.50256	16.289	16.01	False	True
SATEEN	6	1400	181	52	0.0082873	0	0	0.032258	0	free	0.86538	0	0.019231	SAT		SATE	SAT	0.64039	16.272	18.116	False	True
EROSE	5	800	572	173	0.0052448	0	0	0.020202	0.038462	free	0.44509	0.0057803	0.0057803			ROSE	ROSE	0.33606	16.234	16.594	False	True
SAREES	6	1400	180	52	0.019444	0.0055556	0.019231	0.051282	0.022222	free	0.88462	0	0.038462	REE		SAR	REE	0.65424	16.136	16.95	False	True
TALEA	5	800	282	91	0.0088652	0.010638	0	0	0.014925	free	0.85714	0	0.010989	TALE		TALE	TALE	0.63315	16.089	16.078	False	True
ELSIN	5	800	335	132	0.0029851	0.0059701	0.015152	0	0	free	0.60606	0	0.060606	SIN	LINES	SIN	SIN	0.4511	16.068	12.369	False	True
SENTI	5	800	733	207	0.093452	0.12824	0.067633	0.061224	0.074468	free	0.45894	0	0.27536		TINES	SENT	SENT	0.34495	16.029	15.392	False	True
