decile	mean	lo	hi	n	clusters	block	pos
	4.43363	4.40872	4.45946	7089	7089	pos_opponent	17
	4.44835	4.42059	4.47439	7086	7086	pos_opponent	18
	4.41691	4.39209	4.44007	7083	7083	pos_opponent	19
	4.43773	4.41184	4.46384	7082	7082	pos_opponent	20
	4.42789	4.40296	4.45481	7079	7079	pos_opponent	21
	4.43735	4.40968	4.4668	7079	7079	pos_opponent	22
	4.44982	4.42415	4.47542	7074	7074	pos_opponent	23
	4.42067	4.39624	4.44649	7072	7072	pos_opponent	24
	4.20263	4.14272	4.25868	1066	1066	pos_strong	0
	4.36679	4.3068	4.43494	1066	1066	pos_strong	1
	4.56191	4.48896	4.63107	1066	1066	pos_strong	2
	4.65854	4.59275	4.73058	1066	1066	pos_strong	3
	4.69512	4.62863	4.77916	1066	1066	pos_strong	4
	4.67448	4.60217	4.73968	1066	1066	pos_strong	5
	4.73265	4.66502	4.80889	1066	1066	pos_strong	6
	4.75141	4.6774	4.81917	1066	1066	pos_strong	7
	4.73452	4.66754	4.8022	1066	1066	pos_strong	8
	4.71951	4.65616	4.78737	1066	1066	pos_strong	9
	4.74015	4.66822	4.81175	1066	1066	pos_strong	10
	4.77767	4.70457	4.84445	1066	1066	pos_strong	11
	4.74296	4.67455	4.82203	1066	1066	pos_strong	12
	4.74578	4.6737	4.81793	1066	1066	pos_strong	13
	4.76735	4.6957	4.84251	1066	1066	pos_strong	14
	4.83396	4.76475	4.9022	1066	1066	pos_strong	15
	4.77767	4.70514	4.85704	1066	1066	pos_strong	16
	4.803	4.73139	4.87412	1066	1066	pos_strong	17
	4.78424	4.71632	4.86417	1066	1066	pos_strong	18
	4.7833	4.708	4.85904	1066	1066	pos_strong	19
	4.80394	4.73449	4.87479	1066	1066	pos_strong	20
	4.82083	4.74458	4.89271	1066	1066	pos_strong	21
	4.77392	4.70045	4.84995	1066	1066	pos_strong	22
	4.76454	4.69881	4.84416	1066	1066	pos_strong	23
	4.77861	4.70561	4.85339	1066	1066	pos_strong	24
	3.80379	3.75198	3.85415	1371	1371	pos_weak	0
	4.05186	3.99524	4.09924	1369	1369	pos_weak	1
	4.18873	4.14157	4.2479	1367	1367	pos_weak	2
	4.26428	4.20839	4.31278	1366	1366	pos_weak	3
	4.2672	4.20482	4.32475	1366	1366	pos_weak	4
	4.24396	4.1805	4.2966	1365	1365	pos_weak	5
	4.3304	4.27277	4.38657	1365	1365	pos_weak	6
	4.29252	4.24082	4.33626	1364	1364	pos_weak	7
	4.29515	4.24039	4.35256	1362	1362	pos_weak	8
	4.29956	4.24218	4.35945	1362	1362	pos_weak	9
	4.26579	4.21235	4.33185	1362	1362	pos_weak	10
	4.32917	4.27683	4.37638	1361	1361	pos_weak	11
	4.30588	4.25011	4.36733	1360	1360	pos_weak	12
	4.27794	4.22683	4.33906	1360	1360	pos_weak	13
