word	len	pts	n	kP	nO	kO	fieldRate	myRate	nCur	kCur	myRateCur	nStrong	strongRate	nTopQ	topQRate	dead	everAccepted	share_freeCur	share_dropTerminalCur	share_cellmateCur	share_noneCur	share_freeAll	share_dropTerminalAll	share_cellmateAll	share_noneAll	observedHost	hookStem	cellmateOf	qCur	gainPerGameCur	qAll	gainPerGameAll	reachClass	family
ECARTE	6	1400	103	0	103	3	0.0145631	0	26	0	0	14	0.0714286	22	0	False	True	0.961538	0	0	0.0384615	0.951456	0	0	0.0485437	CARTE	CARTE		0.670535	14.1822	0.663557	13.4144	free	CARTE
MANTES	6	1400	113	5	113	14	0.0840708	0.0442478	26	0	0	27	0.148148	30	0.166667	False	True	0.961538	0	0	0.0384615	0.938053	0	0	0.0619469	ANTES	MAN		0.670535	14.1822	0.65428	13.5297	free	MAN
SANTERA	7	1800	102	2	102	18	0.0980392	0.0196078	22	0	0	22	0.318182	20	0.4	False	True	0.909091	0	0	0.0909091	0.833333	0	0	0.166667	SANT	SAN		0.614573	14.1412	0.56444	14.0237	free	SAN
ETTIN	5	800	221	0	221	0	0	0	52	0	0	33	0	70	0	False	False	0.807692	0	0	0.192308	0.791855	0	0	0.208145	TIN	TIN		0.583532	14.1051	0.572489	14.1898	free	TIN
RATAN	5	800	235	3	235	16	0.0404255	0.012766	49	0	0	40	0.025	56	0.0892857	False	True	0.857143	0	0	0.142857	0.889362	0	0.00425532	0.106383	RAT	RAT		0.618014	14.0768	0.640784	16.5523	free	RAT
ASTIR	5	800	445	1	445	5	0.00674157	0.00224719	89	0	0	91	0.010989	135	0.00740741	False	True	0.438202	0	0.191011	0.370787	0.474157	0	0.150562	0.375281	STIR			0.339511	14.046	0.361697	17.9397	free	STIR
DOEST	5	800	232	0	232	10	0.0215517	0	72	0	0	40	0.075	66	0.0454545	False	True	0.569444	0	0.0277778	0.402778	0.512931	0	0.0517241	0.435345	DOES		DOTES	0.419382	14.0363	0.381684	9.93137	free	DOES
ENTIRE	6	1400	205	1	205	18	0.0463415	0.00487805	50	1	0.02	48	0.1875	45	0.111111	False	True	0.52	0	0.02	0.46	0.526829	0	0.0292683	0.443902	TIRE	TIRE		0.364917	14.0292	0.369637	14.6763	free	TIRE
TESLAS	6	1400	123	17	123	2	0.0772358	0.138211	35	3	0.0857143	24	0	36	0.0277778	False	True	0.828571	0	0.114286	0.0571429	0.772358	0	0.105691	0.121951	LAS	LAS	STALES,STEALS,SLATES	0.578427	14.0284	0.539525	9.68825	free	LAS
DELOS	5	800	182	1	182	9	0.0274725	0.00549451	53	0	0	35	0.0285714	60	0.0333333	False	True	0.773585	0	0.132075	0.0943396	0.714286	0	0.131868	0.153846	LOS	LOS	LODES,DOLES	0.56917	14.0226	0.527806	10.6615	free	LOS
ANTAE	5	800	279	0	279	10	0.0179211	0	66	0	0	43	0.0232558	81	0.0246914	False	True	0.621212	0	0	0.378788	0.623656	0	0	0.376344	ANT			0.453499	13.9133	0.455203	14.2438	free	ANT
ARERE	5	800	240	0	240	1	0.00208333	0	59	0	0	46	0	55	0	False	True	0.694915	0	0	0.305085	0.6	0	0	0.4	ARE	ARE		0.504892	13.8471	0.438707	11.8088	free	ARE
RETAG	5	800	229	3	229	7	0.0218341	0.0131004	62	1	0.016129	41	0.0243902	71	0.0422535	False	True	0.66129	0	0.209677	0.129032	0.659389	0	0.222707	0.117904	RET		GRATE,GATER	0.496402	13.8417	0.496006	12.4027	free	RET
LITAS	5	800	278	0	278	4	0.00719424	0	51	0	0	50	0.02	87	0.0229885	False	True	0.803922	0	0.0392157	0.156863	0.856115	0	0.0395683	0.104317	LIT	LIT	TAILS	0.5837	13.8379	0.62012	19.3347	free	LIT
ROTAL	5	800	254	2	254	26	0.0551181	0.00787402	65	1	0.0153846	45	0.0666667	74	0.135135	False	True	0.646154	0	0	0.353846	0.610236	0	0	0.389764	ROT	ROT		0.470891	13.7631	0.445845	12.4766	free	ROT
RANEE	5	800	237	1	237	7	0.0168776	0.00421941	50	0	0	37	0.108108	55	0.0363636	False	True	0.82	0	0	0.18	0.776371	0	0	0.223629	RAN	RAN		0.592114	13.7621	0.561692	14.818	free	RAN
STELAI	6	1400	213	0	213	2	0.00469484	0	61	0	0	40	0	62	0.016129	False	True	0.393443	0	0	0.606557	0.356808	0	0.00938967	0.633803	TEL			0.277335	13.762	0.251972	10.5339	free	TEL
RAMET	5	800	199	0	199	21	0.0527638	0	56	0	0	43	0.162791	50	0.14	False	True	0.714286	0	0.142857	0.142857	0.708543	0	0.160804	0.130653	RAM		MATER,TAMER	0.52859	13.7599	0.525865	11.7367	free	RAM
RAMIS	5	800	182	4	182	25	0.0796703	0.021978	57	1	0.0175439	32	0.21875	43	0.116279	False	True	0.736842	0	0.0350877	0.22807	0.686813	0	0.032967	0.28022	RAM	MIS		0.536631	13.7538	0.501594	9.79001	free	MIS
INSERT	6	1400	264	13	264	12	0.0473485	0.0492424	60	0	0	43	0.116279	63	0.0634921	False	True	0.4	0	0.25	0.35	0.390152	0.00757576	0.223485	0.378788	SER		INTERS,TRINES,NITERS,SINTER	0.281706	13.7497	0.275879	11.7433	free	SER
ELAIN	5	800	313	0	313	12	0.0191693	0	83	0	0	47	0.0851064	105	0.0571429	False	True	0.46988	0	0.108434	0.421687	0.479233	0	0.102236	0.41853	LAIN			0.355709	13.724	0.361789	12.7004	free	LAIN
SOREES	6	1400	99	4	99	10	0.0707071	0.040404	27	2	0.0740741	20	0.1	31	0.16129	False	True	1	0	0	0	0.929293	0	0	0.0707071	SORE	REE		0.697156	13.6854	0.648217	11.8103	free	REE
UNITER	6	1400	91	0	91	16	0.0879121	0	30	0	0	23	0.434783	27	0.185185	False	True	0.8	0	0	0.2	0.802198	0	0	0.197802	NITER	NITER		0.558729	13.6354	0.56025	10.0064	free	NITER
MATIER	6	1400	118	1	118	7	0.0338983	0.00847458	28	0	0	17	0.0588235	34	0.0588235	False	True	0.857143	0	0	0.142857	0.889831	0	0	0.110169	MAT	MAT		0.598279	13.6273	0.620904	14.1838	free	MAT
DESINE	6	1400	137	4	137	11	0.0547445	0.0291971	28	0	0	31	0.0645161	33	0.151515	False	True	0.857143	0	0	0.142857	0.744526	0	0	0.255474	SINE	SINE		0.598279	13.6273	0.520333	13.2062	free	SINE
RETEAR	6	1400	158	2	158	17	0.0601266	0.0126582	27	0	0	29	0.344828	33	0.0909091	False	True	0.888889	0	0	0.111111	0.898734	0	0	0.101266	TEAR	TEAR		0.620252	13.6232	0.627066	19.0533	free	TEAR
LITEST	6	1400	117	0	117	2	0.00854701	0	26	0	0	21	0.047619	35	0.0285714	False	True	0.923077	0	0	0.0769231	0.905983	0	0	0.0940171	LITES	LITES		0.643915	13.6191	0.632083	14.515	free	LITES
RESIST	6	1400	131	3	131	15	0.0687023	0.0229008	26	0	0	23	0.173913	33	0.0606061	False	True	0.923077	0	0.0384615	0.0384615	0.78626	0	0.0305344	0.183206	RES		STIRES	0.643889	13.6186	0.549198	13.5319	free	RES
STRAD	5	800	285	7	285	28	0.0614035	0.0245614	61	2	0.0327869	57	0.140351	81	0.111111	False	True	0.704918	0	0.0163934	0.278689	0.568421	0.00350877	0.157895	0.270175	TRAD			0.513037	13.6178	0.429887	12.9559	free	TRAD
SALAT	5	800	167	1	167	14	0.0449102	0.00598802	46	1	0.0217391	23	0.0434783	52	0.0769231	False	True	0.913043	0	0	0.0869565	0.874251	0	0.00598802	0.11976	SAL	SAL		0.656994	13.5836	0.630371	11.6946	free	SAL
TRESS	5	800	267	8	267	25	0.0617978	0.0299625	68	3	0.0441176	49	0.122449	74	0.027027	False	True	0.647059	0	0	0.352941	0.655431	0	0	0.344569	RES		RESTS	0.471522	13.51	0.477359	13.3974	free	RES
TELIA	5	800	344	0	344	0	0	0	89	0	0	70	0	113	0	False	False	0.438202	0	0	0.561798	0.354651	0	0	0.645349	TEL			0.325885	13.4823	0.267625	10.3253	free	TEL
SEDAN	5	800	290	1	290	9	0.0172414	0.00344828	69	0	0	65	0.0307692	81	0.0246914	False	True	0.565217	0	0.0724638	0.362319	0.52069	0	0.0827586	0.396552	DAN	DAN		0.419622	13.4591	0.389307	12.55	free	DAN
ROSEATE	7	1800	65	0	65	2	0.0153846	0	21	0	0	8	0.125	16	0.0625	False	True	0.904762	0	0	0.0952381	0.938462	0	0	0.0615385	ROSE	ROSE		0.611708	13.4355	0.634008	10.3994	free	ROSE
RATITES	7	1800	82	1	82	4	0.0304878	0.0121951	20	0	0	22	0.181818	24	0.125	False	True	0.95	0	0	0.05	0.97561	0	0	0.0243902	TITE	TITE		0.641644	13.422	0.658591	13.3756	free	TITE
LORAN	5	800	152	0	152	3	0.00986842	0	48	0	0	20	0.05	41	0	False	True	0.833333	0	0	0.166667	0.828947	0	0	0.171053	LOR	LOR		0.601412	13.4191	0.598353	10.2004	free	LOR
ARTEL	5	800	397	41	397	36	0.0969773	0.103275	87	8	0.091954	74	0.189189	117	0.17094	False	True	0.563218	0	0.149425	0.287356	0.491184	0.0125945	0.163728	0.332494	ART		TALER	0.423718	13.4171	0.381459	12.3863	free	ART
TENSOR	6	1400	171	3	171	11	0.0409357	0.0175439	38	1	0.0263158	35	0.142857	49	0.142857	False	True	0.657895	0	0.131579	0.210526	0.649123	0	0.111111	0.239766	TENS	TEN	TONERS,STONER,TRONES,RONTES,NOTERS	0.460284	13.4149	0.454226	14.6561	free	TEN
ASHEN	5	800	175	2	175	26	0.08	0.0114286	46	0	0	28	0.178571	54	0.185185	False	True	0.869565	0	0	0.130435	0.845714	0	0	0.154286	SHEN	SHE		0.626676	13.4002	0.610045	11.7491	free	SHE
PETAR	5	800	239	8	239	15	0.0481172	0.0334728	55	1	0.0181818	48	0.125	64	0.109375	False	True	0.727273	0	0.127273	0.145455	0.74477	0	0.142259	0.112971	TAR	TAR	PRATE,TRAPE,TAPER,PATER	0.536534	13.2525	0.549804	13.8402	free	TAR
SERER	5	800	271	4	271	6	0.0184502	0.0147601	56	0	0	62	0.0483871	69	0.0144928	False	True	0.696429	0	0	0.303571	0.634686	0	0	0.365314	SERE			0.505947	13.1705	0.462894	13.6206	free	SERE
DITAS	5	800	223	5	223	9	0.0313901	0.0224215	54	3	0.0555556	36	0.0555556	59	0.0677966	False	True	0.796296	0	0.037037	0.166667	0.775785	0	0.0134529	0.210762	DIT	TAS		0.578228	13.1199	0.562242	13.5012	free	TAS
NORSEL	6	1400	110	0	110	1	0.00454545	0	39	0	0	20	0	31	0	False	True	0.589744	0	0.0512821	0.358974	0.472727	0	0.0636364	0.463636	NOR		LONERS	0.413168	13.1081	0.332168	7.17144	free	NOR
SANIES	6	1400	163	1	163	5	0.0184049	0.00613497	32	0	0	31	0.0322581	37	0.027027	False	True	0.71875	0	0	0.28125	0.723926	0	0	0.276074	SAN	SAN		0.502492	13.0806	0.506075	15.9942	free	SAN
RENIES	6	1400	217	0	217	17	0.0391705	0	32	0	0	36	0.138889	59	0.118644	False	True	0.71875	0	0	0.28125	0.658986	0	0.00460829	0.336406	REN	REN		0.502492	13.0806	0.461125	19.6397	free	REN
OSTENT	6	1400	109	0	109	0	0	0	30	0	0	22	0	29	0	False	False	0.766667	0	0	0.233333	0.834862	0	0	0.165138	STENT	TENT		0.535657	13.0724	0.582858	12.4694	free	TENT
RESTEM	6	1400	119	0	119	1	0.00420168	0	30	0	0	33	0.030303	32	0.03125	False	True	0.766667	0	0.0333333	0.2	0.789916	0	0.0420168	0.168067	REST	REST		0.535635	13.0719	0.551721	12.8861	free	REST
STENOS	6	1400	140	1	140	11	0.0428571	0.00714286	29	0	0	33	0.151515	34	0.147059	False	True	0.793103	0	0.0344828	0.172414	0.828571	0	0.0214286	0.15	TEN	TEN	STONES	0.553932	13.0678	0.57849	15.6994	free	TEN
SATEM	5	800	266	0	266	3	0.0056391	0	68	0	0	58	0.0344828	71	0.028169	False	True	0.544118	0	0.191176	0.264706	0.522556	0	0.233083	0.244361	SATE		TEAMS,STEAM,TAMES,MATES,MEATS	0.413378	13.0667	0.401332	11.973	free	SATE
TAMEIN	6	1400	80	0	80	0	0	0	27	0	0	15	0	25	0	False	False	0.851852	0	0	0.148148	0.8	0	0	0.2	TAME	TAME		0.594617	13.0602	0.558729	8.77297	free	TAME
ERODES	6	1400	122	1	122	13	0.057377	0.00819672	27	0	0	22	0.181818	35	0.114286	False	True	0.851852	0	0	0.148148	0.737705	0	0.0409836	0.221311	RODES	RODES	DOREES	0.594617	13.0602	0.515584	12.1494	free	RODES
DOTIER	6	1400	85	1	85	6	0.0411765	0.0117647	27	0	0	11	0.181818	20	0.15	False	True	0.851852	0	0	0.148148	0.8	0	0	0.2	DOT	DOT		0.594617	13.0602	0.558729	9.12501	free	DOT
CERATE	6	1400	113	0	113	13	0.0575221	0	27	0	0	22	0.318182	25	0.32	False	True	0.851852	0	0	0.148148	0.849558	0	0	0.150442	RATE	RATE		0.594617	13.0602	0.593029	13.1526	free	RATE
TESTON	6	1400	135	0	135	4	0.0148148	0	27	0	0	23	0	38	0.0789474	False	True	0.851852	0	0	0.148148	0.82963	0	0	0.17037	TEST	TON		0.594617	13.0602	0.579236	15.3478	free	TON
HOARED	6	1400	64	1	64	9	0.078125	0.015625	27	0	0	13	0.153846	20	0.15	False	True	0.851852	0	0	0.148148	0.875	0	0	0.125	HOAR	ARE		0.594617	13.0602	0.610639	7.47417	free	ARE
RETROD	6	1400	85	0	85	3	0.0176471	0	27	0	0	14	0.142857	28	0.0357143	False	True	0.851852	0	0	0.148148	0.717647	0	0	0.282353	TROD	ROD		0.594617	13.0602	0.501729	8.37036	free	ROD
LEARNT	6	1400	105	3	105	10	0.0619048	0.0285714	27	0	0	15	0.0666667	27	0.037037	False	True	0.851852	0	0	0.148148	0.895238	0	0	0.104762	LEARN	LEAR		0.594617	13.0602	0.624646	12.2842	free	LEAR
SILEN	5	800	295	3	295	28	0.0525424	0.0101695	63	2	0.031746	48	0.208333	96	0.104167	False	True	0.650794	0	0.047619	0.301587	0.620339	0	0.0983051	0.281356	SILE	SILE	LINES	0.477523	13.0547	0.459902	14.8797	free	SILE
SITTEN	6	1400	99	3	99	6	0.0454545	0.030303	25	0	0	18	0.111111	29	0.0689655	False	True	0.92	0	0	0.08	0.878788	0	0	0.121212	SIT	TEN		0.641785	13.052	0.613261	11.3273	free	TEN
DESALT	6	1400	95	1	95	9	0.0526316	0.0105263	25	0	0	21	0.142857	30	0.1	False	True	0.92	0	0	0.08	0.736842	0	0.0421053	0.221053	SALT	SALT		0.641785	13.052	0.514986	9.40603	free	SALT
IMARET	6	1400	116	0	116	4	0.0172414	0	24	0	0	26	0.0384615	28	0	False	True	0.958333	0	0	0.0416667	0.922414	0	0	0.0775862	MARE	MARE		0.668317	13.0479	0.643456	14.6498	free	MARE
AREAR	5	800	198	0	198	2	0.00505051	0	43	0	0	38	0	55	0	False	True	0.906977	0	0	0.0930233	0.919192	0	0	0.0808081	REAR	ARE		0.652763	13.0477	0.661281	14.6848	free	ARE
EALES	5	800	333	2	333	11	0.0195195	0.00600601	67	0	0	63	0.047619	103	0.0485437	False	True	0.402985	0.19403	0.134328	0.268657	0.288288	0.201201	0.213213	0.297297	ALES		LEASE	0.417979	13.0178	0.347584	12.7571	free	ALES
ELSIN	5	800	263	1	263	0	0.00190114	0.00380228	63	0	0	46	0	98	0	False	True	0.603175	0	0.031746	0.365079	0.627376	0	0.0342205	0.338403	SIN	SIN	LINES	0.443186	12.9788	0.460238	13.4634	free	SIN
SALTO	5	800	191	3	191	11	0.0366492	0.0157068	50	1	0.02	29	0.0344828	76	0.0789474	False	True	0.8	0	0	0.2	0.743455	0	0.0104712	0.246073	SALT	SALT		0.578168	12.9731	0.539486	11.2202	free	SALT
REATA	5	800	377	1	377	12	0.0172414	0.00265252	84	1	0.0119048	65	0.0461538	89	0.0449438	False	True	0.464286	0	0	0.535714	0.445623	0	0	0.554377	EAT			0.344073	12.9702	0.33106	13.8858	free	EAT
RASTA	5	800	329	2	329	8	0.0151976	0.00607903	65	0	0	72	0.0138889	101	0.019802	False	True	0.584615	0	0.0153846	0.4	0.607903	0	0.0364742	0.355623	RAST	RAS		0.429077	12.9646	0.44682	16.2629	free	RAS
AIRTED	6	1400	183	1	183	26	0.0737705	0.00546448	52	1	0.0192308	39	0.179487	45	0.111111	False	True	0.461538	0	0.0576923	0.480769	0.371585	0	0.0327869	0.595628	AIR			0.324428	12.9101	0.262184	9.22076	free	AIR
LARIS	5	800	283	12	283	22	0.0600707	0.0424028	63	4	0.0634921	41	0.097561	89	0.0224719	False	True	0.68254	0	0.111111	0.206349	0.632509	0	0.0918728	0.275618	LAR	LAR	RAILS	0.504189	12.9059	0.46793	13.5061	free	LAR
IDEAS	5	800	309	0	309	8	0.012945	0	71	0	0	56	0.0892857	90	0.0222222	False	True	0.521127	0	0.0985915	0.380282	0.546926	0	0.0841424	0.368932	EAS	EAS		0.390742	12.8961	0.407701	14.1292	free	EAS
ERODE	5	800	214	3	214	23	0.0607477	0.0140187	53	0	0	39	0.179487	65	0.138462	False	True	0.716981	0	0.0377358	0.245283	0.67757	0	0.046729	0.275701	RODE	RODE	DOREE	0.522971	12.8843	0.496131	11.5712	free	RODE
AINEE	5	800	206	2	206	3	0.0121359	0.00970874	60	0	0	26	0.0384615	65	0.0461538	False	True	0.633333	0	0	0.366667	0.543689	0.00485437	0	0.451456	AINE			0.461951	12.8842	0.402121	9.06624	free	AINE
ARSING	6	1400	89	7	89	7	0.0786517	0.0786517	30	1	0.0333333	18	0	29	0.137931	False	True	0.8	0	0.0666667	0.133333	0.775281	0	0.0337079	0.191011	SING	SING	GRAINS	0.558684	12.8209	0.541597	8.08678	free	SING
TASAR	5	800	210	0	210	2	0.0047619	0	48	0	0	39	0	68	0.0147059	False	True	0.791667	0	0.0208333	0.1875	0.795238	0	0.0333333	0.171429	TAS	TAS		0.573843	12.8039	0.577225	13.5951	free	TAS
TITAN	5	800	185	5	185	5	0.027027	0.027027	44	2	0.0454545	38	0	58	0.0172414	False	True	0.931818	0	0	0.0681818	0.886486	0	0.0324324	0.0810811	TIT	TIT		0.670086	12.7757	0.640789	12.7347	free	TIT
SENATOR	7	1800	88	0	88	4	0.0227273	0	22	0	0	16	0	21	0.0952381	False	True	0.818182	0	0.0454545	0.136364	0.784091	0	0.0113636	0.204545	SEN	TOR		0.553824	12.7434	0.531707	11.8074	free	TOR
IRATEST	7	1800	124	1	124	7	0.0322581	0.00806452	20	0	0	24	0.0416667	32	0.03125	False	True	0.9	0	0	0.1	0.927419	0	0	0.0725806	RATES	RATES		0.608557	12.7298	0.626701	19.3579	free	RATES
SERINES	7	1800	82	1	82	11	0.0731707	0.0121951	19	0	0	14	0.214286	14	0.285714	False	True	0.947368	0	0	0.0526316	0.939024	0	0	0.0609756	RINES	RINES		0.639903	12.7163	0.634381	12.8746	free	RINES
CARON	5	800	133	2	133	7	0.0338346	0.0150376	42	0	0	13	0.0769231	35	0.0857143	False	True	0.904762	0	0	0.0952381	0.917293	0	0	0.0827068	CAR	CAR		0.651219	12.7141	0.659957	9.62	free	CAR
LATRINE	7	1800	70	1	70	7	0.0571429	0.0142857	18	0	0	9	0	21	0.142857	False	True	1	0	0	0	0.928571	0	0	0.0714286	TRINE	RINE		0.674731	12.7027	0.627464	10.8314	free	RINE
CANST	5	800	143	3	143	4	0.0244755	0.020979	40	0	0	22	0.0909091	55	0.0363636	False	True	0.95	0	0	0.05	0.881119	0	0	0.118881	CAN	CAN	SCANT,CANTS	0.682764	12.6952	0.634733	9.84346	free	CAN
SENAS	5	800	397	24	397	35	0.0743073	0.0604534	71	7	0.0985915	71	0.0704225	89	0.0786517	False	True	0.647887	0	0.15493	0.197183	0.546599	0	0.20403	0.24937	SEN			0.483151	12.692	0.416025	15.832	free	SEN
RESAID	6	1400	157	18	157	6	0.0764331	0.11465	33	4	0.121212	22	0.0909091	48	0.0208333	False	True	0.848485	0	0	0.151515	0.88535	0	0.00636943	0.10828	RES	SAI	AIDERS	0.592287	12.6459	0.617798	15.5043	free	SAI
URITES	6	1400	104	15	104	3	0.0865385	0.144231	31	4	0.129032	14	0	30	0.0333333	False	True	0.903226	0	0	0.0967742	0.846154	0	0	0.153846	RITES	RITES		0.630175	12.6378	0.590673	9.11286	free	RITES
OATIER	6	1400	175	6	175	24	0.0857143	0.0342857	43	2	0.0465116	29	0.241379	49	0.102041	False	True	0.581395	0	0	0.418605	0.582857	0	0	0.417143	OAT			0.407424	12.6246	0.408436	12.8511	free	OAT
PAREO	5	800	173	2	173	2	0.0115607	0.0115607	44	1	0.0227273	26	0	47	0.0212766	False	True	0.886364	0	0	0.113636	0.930636	0	0	0.0693642	PARE	PARE		0.63839	12.5923	0.669261	12.7612	free	PARE
PRESA	5	800	244	2	244	8	0.0204918	0.00819672	58	0	0	34	0.0882353	65	0.0307692	False	True	0.62069	0	0.172414	0.206897	0.622951	0	0.217213	0.159836	PRE		PEARS,SPEAR,RAPES,SPARE,PARES,PARSE	0.465433	12.5486	0.470206	12.6432	free	PRE
TENIAE	6	1400	169	0	169	2	0.00591716	0	39	0	0	30	0.0333333	40	0	False	True	0.564103	0	0	0.435897	0.544379	0	0	0.455621	TEN	TEN		0.395455	12.5461	0.381804	12.6643	free	TEN
ANOLES	6	1400	93	2	93	10	0.0645161	0.0215054	35	0	0	11	0.181818	25	0.16	False	True	0.628571	0	0	0.371429	0.526882	0	0	0.473118	NOLES			0.440076	12.5298	0.369693	6.35554	free	NOLES
SOLERA	6	1400	137	1	137	23	0.0875912	0.00729927	34	0	0	23	0.26087	42	0.309524	False	True	0.647059	0	0	0.352941	0.708029	0	0	0.291971	SOLER	SOLER		0.452872	12.5257	0.495072	13.1158	free	SOLER
HARTEN	6	1400	111	0	111	15	0.0675676	0	32	0	0	21	0.380952	21	0.190476	False	True	0.6875	0	0	0.3125	0.693694	0	0	0.306306	TEN	TEN		0.480863	12.5175	0.48515	10.5695	free	TEN
IRADE	5	800	311	1	311	6	0.011254	0.00321543	72	0	0	46	0.0652174	93	0.0322581	False	True	0.486111	0.0138889	0.0972222	0.402778	0.475884	0.0096463	0.0900322	0.424437	RADE		AIDER	0.373892	12.5137	0.363906	12.5809	free	RADE
HOSTA	5	800	175	1	175	8	0.0257143	0.00571429	55	0	0	35	0.0285714	59	0.0338983	False	True	0.672727	0	0	0.327273	0.628571	0	0.0514286	0.32	HOST	HOS		0.48942	12.5128	0.462299	8.96143	free	HOS
SERRAN	6	1400	109	1	109	7	0.0366972	0.00917431	30	0	0	23	0.130435	23	0.0434783	False	True	0.733333	0	0	0.266667	0.770642	0	0	0.229358	SERRA	RAN		0.512586	12.5094	0.538409	11.3222	free	RAN
TASLET	6	1400	126	0	126	2	0.00793651	0	27	0	0	28	0.0714286	36	0	False	True	0.814815	0	0	0.185185	0.785714	0	0	0.214286	TAS	TAS	LATTES	0.568982	12.4971	0.548841	13.5729	free	TAS
RAITAS	6	1400	110	0	110	3	0.0136364	0	26	0	0	22	0.0454545	29	0.0344828	False	True	0.846154	0	0	0.153846	0.854545	0	0	0.145455	RAIT	RAI		0.590673	12.493	0.596482	12.8779	free	RAI
SANTIR	6	1400	115	0	115	4	0.0173913	0	26	0	0	21	0.190476	25	0.08	False	True	0.846154	0	0	0.153846	0.73913	0	0.0347826	0.226087	SANT	SAN	STRAIN,TRAINS	0.590673	12.493	0.516575	11.6597	free	SAN
TINEAL	6	1400	151	0	151	8	0.0264901	0	25	0	0	17	0.117647	41	0.0487805	False	True	0.88	0	0	0.12	0.880795	0	0.00662252	0.112583	TINE	TINE		0.6141	12.489	0.614645	18.2162	free	TINE
STATOR	6	1400	109	0	109	2	0.00917431	0	23	0	0	20	0.05	27	0	False	True	0.956522	0	0	0.0434783	0.926606	0	0	0.0733945	STAT	STAT		0.667063	12.4808	0.646357	13.8279	free	STAT
EALING	6	1400	103	0	103	3	0.0145631	0	23	0	0	13	0.153846	37	0.027027	False	True	0.956522	0	0	0.0434783	0.854369	0.0485437	0	0.0970874	LING	LING		0.667063	12.4808	0.602588	12.1819	free	LING
TOEAS	5	800	313	36	313	6	0.0670927	0.115016	75	11	0.146667	45	0.0444444	100	0.02	False	True	0.693333	0	0	0.306667	0.619808	0	0	0.380192	EAS	EAS		0.503789	12.4505	0.45252	11.8479	free	EAS
TORAH	5	800	193	0	193	5	0.0129534	0	48	0	0	34	0.0294118	62	0.016129	False	True	0.770833	0	0	0.229167	0.797927	0	0	0.202073	TOR	TOR		0.55783	12.4466	0.576723	12.4837	free	TOR
NITRATE	7	1800	86	4	86	7	0.0639535	0.0465116	21	1	0.047619	20	0.1	20	0.15	False	True	0.904762	0	0	0.0952381	0.918605	0	0	0.0813953	RATE	RATE		0.611708	12.3896	0.620868	12.4647	free	RATE
SORITES	7	1800	80	4	80	2	0.0375	0.05	22	1	0.0454545	16	0.0625	16	0.0625	False	True	0.863636	0	0.0454545	0.0909091	0.8125	0	0.025	0.1625	RITES	RITES		0.583903	12.3896	0.550329	10.1006	free	RITES
