word	len	pts	n	kP	nO	kO	fieldRate	myRate	nCur	kCur	myRateCur	nStrong	strongRate	nTopQ	topQRate	dead	everAccepted	share_freeCur	share_dropTerminalCur	share_cellmateCur	share_noneCur	share_freeAll	share_dropTerminalAll	share_cellmateAll	share_noneAll	observedHost	hookStem	cellmateOf	qCur	gainPerGameCur	qAll	gainPerGameAll	reachClass	family
ANEARS	6	1400	159	0	159	2	0.00628931	0	35	0	0	28	0.0714286	31	0	False	True	0.857143	0	0	0.142857	0.823899	0	0.00628931	0.169811	NEARS	EAR		0.598279	17.0341	0.575266	17.9524	free	EAR
AERATE	6	1400	189	0	189	3	0.00793651	0	35	0	0	39	0.025641	42	0	False	True	0.857143	0	0	0.142857	0.851852	0	0	0.148148	RATE	RATE		0.598279	17.0341	0.594617	22.0574	free	RATE
ELINTS	6	1400	125	0	125	3	0.012	0	32	0	0	21	0.047619	35	0	False	True	0.9375	0	0	0.0625	0.832	0	0	0.168	LINTS	LINT		0.653897	17.0219	0.580877	14.2512	free	LINT
OREAD	5	800	311	0	311	3	0.00482315	0	77	0	0	59	0.0169492	74	0.0135135	False	True	0.649351	0	0.012987	0.337662	0.614148	0	0.00643087	0.379421	READ			0.474046	16.9676	0.449032	15.6623	free	READ
SLART	5	800	306	2	306	9	0.0179739	0.00653595	73	0	0	60	0.0166667	104	0.00961538	False	True	0.684932	0	0	0.315068	0.620915	0	0	0.379085	LAR	LAR		0.497931	16.8967	0.453292	15.3324	free	LAR
SHERO	5	800	269	8	269	7	0.027881	0.0297398	73	1	0.0136986	44	0.0454545	85	0.0235294	False	True	0.69863	0	0.0410959	0.260274	0.776952	0	0.063197	0.159851	SHE	SHE	SHORE,HORSE	0.510414	16.8554	0.566605	16.197	free	SHE
STEALT	6	1400	111	2	111	0	0.00900901	0.018018	31	1	0.0322581	21	0	34	0	False	True	1	0	0	0	0.954955	0	0	0.045045	STEAL	STEAL	LATTES	0.697156	16.7673	0.665979	14.1165	free	STEAL
SARAN	5	800	238	0	238	2	0.00420168	0	56	0	0	28	0	65	0.0153846	False	True	0.892857	0	0	0.107143	0.823529	0	0	0.176471	SAR	RAN		0.642918	16.736	0.594575	15.8709	free	RAN
TALEA	5	800	215	0	215	4	0.00930233	0	50	0	0	38	0.0263158	69	0.0289855	False	True	1	0	0	0	0.939535	0	0	0.0604651	TALE	TALE		0.717629	16.6793	0.675466	16.2877	free	TALE
TENIAS	6	1400	246	0	246	7	0.0142276	0	59	0	0	35	0.0571429	51	0.0784314	False	True	0.491525	0	0	0.508475	0.504065	0	0.0162602	0.479675	TEN	TEN		0.345222	16.569	0.35389	17.0867	free	TEN
TAIRA	5	800	261	2	261	1	0.00574713	0.00766284	61	2	0.0327869	40	0	66	0.0151515	False	True	0.852459	0	0	0.147541	0.720307	0	0.00766284	0.272031	TAI	TAI		0.614748	16.5019	0.523144	15.0894	free	TAI
TENESI	6	1400	166	3	166	1	0.0120482	0.0180723	35	0	0	29	0	50	0	False	True	0.828571	0	0	0.171429	0.843373	0	0	0.156627	TENES	TENES		0.578504	16.4711	0.588749	18.5932	free	TENES
ARENAS	6	1400	169	1	169	1	0.00591716	0.00591716	33	0	0	27	0.037037	36	0.0277778	False	True	0.878788	0	0	0.121212	0.863905	0	0	0.136095	ARE	ARE		0.613261	16.4629	0.60296	19.8038	free	ARE
RODENT	6	1400	84	1	84	11	0.0714286	0.0119048	32	0	0	10	0.4	20	0.2	False	True	0.90625	0	0	0.09375	0.892857	0	0	0.107143	RODE	RODE		0.632268	16.4588	0.622998	10.075	free	RODE
RATITE	6	1400	130	1	130	5	0.0230769	0.00769231	30	0	0	33	0.151515	32	0.09375	False	True	0.966667	0	0	0.0333333	0.969231	0	0	0.0307692	TITE	TITE		0.674085	16.4506	0.67586	17.0484	free	TITE
SENSI	5	800	335	0	335	6	0.00895522	0	78	0	0	52	0.0192308	89	0.0224719	False	True	0.602564	0	0.153846	0.24359	0.608955	0	0.158209	0.232836	SEN		SINES	0.45147	16.3694	0.456237	17.1417	free	SEN
SERINS	6	1400	190	10	190	23	0.0868421	0.0526316	39	5	0.128205	40	0.225	40	0.225	False	True	0.923077	0	0	0.0769231	0.836842	0	0.00526316	0.157895	RINS	RIN	RINSES	0.643915	16.3613	0.584225	19.8239	free	RIN
RANID	5	800	212	3	212	4	0.0165094	0.0141509	55	1	0.0181818	34	0.0294118	65	0.0153846	False	True	0.909091	0	0	0.0909091	0.84434	0	0.00943396	0.146226	RAN	RAN		0.654238	16.2617	0.609759	14.1617	free	RAN
NATIS	5	800	422	1	422	3	0.00473934	0.00236967	85	0	0	73	0	133	0.0075188	False	True	0.541176	0	0.141176	0.317647	0.457346	0	0.201422	0.341232	NAT		STAIN	0.40776	16.1114	0.353602	16.6236	free	NAT
TATIE	5	800	259	2	259	14	0.030888	0.00772201	53	0	0	43	0.0697674	83	0.060241	False	True	0.90566	0	0	0.0943396	0.899614	0	0	0.100386	TAT	TAT		0.651846	16.0594	0.647629	18.5881	free	TAT
MANET	5	800	202	4	202	9	0.0321782	0.019802	58	1	0.0172414	46	0.0434783	59	0.0508475	False	True	0.844828	0	0.0172414	0.137931	0.881188	0	0.0049505	0.113861	MANE	MANE		0.610657	15.9991	0.635134	13.9405	free	MANE
SEITEN	6	1400	182	0	182	1	0.00274725	0	41	0	0	28	0.0357143	44	0	False	True	0.682927	0	0	0.317073	0.71978	0	0	0.28022	TEN	TEN		0.477698	15.9325	0.503205	17.9752	free	TEN
ENSATE	6	1400	206	0	206	6	0.0145631	0	41	0	0	27	0	49	0.0612245	False	True	0.682927	0	0.0243902	0.292683	0.597087	0	0.0194175	0.383495	SATE			0.477682	15.932	0.418272	16.9115	free	SATE
STRENE	6	1400	159	0	159	3	0.00943396	0	35	0	0	29	0.0344828	47	0.0212766	False	True	0.8	0	0	0.2	0.779874	0	0.0503145	0.169811	REN	REN	RENTES,TREENS	0.558729	15.908	0.544765	17.0005	free	REN
ERINGO	6	1400	76	0	76	0	0	0	33	0	0	13	0	20	0	False	False	0.848485	0	0	0.151515	0.723684	0	0	0.276316	RING	RING		0.592287	15.8999	0.505908	7.54641	free	RING
ALATES	6	1400	116	0	116	20	0.0862069	0	30	0	0	22	0.318182	30	0.3	False	True	0.933333	0	0	0.0666667	0.862069	0	0	0.137931	LATE	LATE		0.651014	15.8876	0.601689	13.6989	free	LATE
TORANS	6	1400	145	1	145	12	0.0448276	0.00689655	29	0	0	21	0.142857	29	0.0689655	False	True	0.965517	0	0	0.0344828	0.917241	0	0	0.0827586	TOR	TOR		0.673289	15.8835	0.639876	18.0141	free	TOR
DRENT	5	800	250	3	250	6	0.018	0.012	63	2	0.031746	53	0	61	0	False	True	0.793651	0	0	0.206349	0.784	0	0.004	0.212	RENT	RENT		0.573741	15.8725	0.567297	15.5698	free	RENT
ANEAR	5	800	311	0	311	3	0.00482315	0	61	0	0	52	0.0576923	70	0	False	True	0.770492	0	0	0.229508	0.700965	0	0.00321543	0.29582	NEAR	EAR		0.557592	15.8109	0.50934	17.7658	free	EAR
NITRO	5	800	360	30	360	25	0.0763889	0.0833333	92	9	0.0978261	57	0.157895	100	0.07	False	True	0.641304	0	0	0.358696	0.577778	0	0	0.422222	NIT	NIT		0.467509	15.8098	0.423212	13.7228	free	NIT
SIMAR	5	800	182	1	182	1	0.00549451	0.00549451	57	0	0	32	0	43	0.0232558	False	True	0.824561	0	0.0175439	0.157895	0.769231	0	0.0274725	0.203297	MAR	MAR		0.596546	15.8062	0.558672	11.2916	free	MAR
EROSE	5	800	459	0	459	5	0.00544662	0	91	0	0	87	0.0229885	129	0.0232558	False	True	0.505495	0	0	0.494505	0.51634	0	0	0.48366	ROSE	ROSE		0.372808	15.7702	0.380371	19.5811	free	ROSE
ADORE	5	800	201	1	201	36	0.0920398	0.00497512	54	0	0	31	0.193548	59	0.169492	False	True	0.87037	0	0	0.12963	0.761194	0	0	0.238806	DORE	DORE		0.627238	15.7447	0.551109	12.3115	free	DORE
SANTO	5	800	258	2	258	18	0.0387597	0.00775194	66	1	0.0151515	33	0.030303	57	0.157895	False	True	0.727273	0	0	0.272727	0.728682	0	0	0.271318	SANT	SAN		0.527455	15.7174	0.528438	15.0665	free	SAN
RERAN	5	800	262	0	262	7	0.0133588	0	66	0	0	61	0.0327869	55	0	False	True	0.69697	0	0	0.30303	0.683206	0	0	0.316794	RAN	RAN		0.506325	15.534	0.496727	14.5961	free	RAN
SLANE	5	800	306	17	306	41	0.0947712	0.0555556	82	3	0.0365854	49	0.183673	87	0.149425	False	True	0.597561	0	0.097561	0.304878	0.542484	0	0.0882353	0.369281	LANE		LEANS	0.443966	15.5283	0.404895	11.9891	free	LANE
RATAS	5	800	283	13	283	30	0.0759717	0.0459364	55	2	0.0363636	44	0.0681818	75	0.16	False	True	0.890909	0	0.0181818	0.0909091	0.915194	0	0.00706714	0.0777385	RAT	RAT		0.642856	15.5059	0.658998	19.4584	free	RAT
SONERI	6	1400	179	0	179	9	0.0251397	0	39	0	0	25	0.08	48	0.0416667	False	True	0.692308	0	0.025641	0.282051	0.653631	0	0.0670391	0.27933	SONE			0.484174	15.3608	0.457376	16.0688	free	SONE
ASHORE	6	1400	84	0	84	5	0.0297619	0	32	0	0	18	0.0555556	22	0.0909091	False	True	0.84375	0	0.03125	0.125	0.916667	0	0.0119048	0.0714286	SHORE	SHORE		0.588989	15.3322	0.63947	10.5428	free	SHORE
