word	len	pts	n	nCur	fieldRate	myRate	myRateCur	strongRate	topQRate	reachClass	share_freeCur	share_dropTerminalCur	share_cellmateCur	hookStem	cellmateOf	observedHost	family	qCur	gainPerGameCur	gainPerGameAll	dead	everAccepted
OLLIE	5	800	91	27	0.054945	0.043956	0	0.2	0.096774	free	0.2963	0.22222	0			LIE	LIE	0.34956	4.3873	3.2646	False	True
PREON	5	800	104	26	0.0096154	0.0096154	0.038462	0	0	free	0.53846	0	0.076923			PRE	PRE	0.40128	4.3851	4.037	False	True
CIMAR	5	800	63	18	0.0079365	0	0	0	0	free	0.72222	0	0	MAR		MAR	MAR	0.52393	4.3839	3.8193	False	True
MENED	5	800	73	18	0.089041	0.082192	0	0.22222	0.24	free	0.72222	0	0	MEN		MENE	MEN	0.52393	4.3839	4.5769	False	True
BINTS	5	800	63	18	0	0	0	0	0	free	0.72222	0	0	BIN		BIN	BIN	0.52393	4.3839	3.7411	True	False
HENNA	5	800	55	18	0.018182	0	0	0.14286	0.052632	free	0.72222	0	0	HEN		HEN	HEN	0.52393	4.3839	2.7844	False	True
OPALS	5	800	64	18	0.046875	0.0625	0	0	0.064516	free	0.72222	0	0	PAL		PAL	PAL	0.52393	4.3839	3.2947	False	True
RAREE	5	800	97	18	0.015464	0.010309	0	0	0	free	0.72222	0	0	ARE		RARE	ARE	0.52393	4.3839	6.7565	False	True
OMERS	5	800	159	47	0.015723	0.012579	0	0.030303	0.019231	dropTerminal	0.10638	0.17021	0.17021		MORSE,MORES	ERS	ERS	0.20057	4.3821	3.4701	False	True
AORTA	5	800	212	52	0	0	0	0	0	free	0.23077	0	0			ORT	ORT	0.18124	4.381	3.4551	False	False
LOOIE	5	800	63	17	0	0	0	0	0	free	0.76471	0	0	LOO		LOO	LOO	0.55356	4.3744	4.1321	False	False
LININ	5	800	62	17	0.064516	0.064516	0	0.25	0.095238	free	0.76471	0	0	LIN		LIN	LIN	0.55356	4.3744	3.7594	False	True
CORNO	5	800	53	17	0.009434	0	0	0	0	free	0.76471	0	0	COR		CORN	COR	0.55356	4.3744	3.6401	False	True
GHATS	5	800	55	17	0.018182	0.018182	0	0	0.076923	free	0.76471	0	0	HAT		HATS	HAT	0.55356	4.3744	3.3059	False	True
ALOIN	5	800	156	51	0.022436	0	0	0.095238	0.10417	free	0.23529	0	0			LOIN	LOIN	0.1844	4.3715	3.171	False	True
IODIN	5	800	70	16	0.014286	0.014286	0	0.16667	0	free	0.8125	0	0	DIN		DIN	DIN	0.58688	4.365	3.7068	False	True
OLLAS	5	800	74	23	0.0067568	0	0	0	0	free	0.52174	0.043478	0	LAS		LAS	LAS	0.40813	4.3635	3.437	False	True
SILOS	5	800	113	23	0.066372	0.061947	0.043478	0.11765	0.078947	free	0.6087	0	0.086957	LOS		LOS	LOS	0.45097	4.3567	4.4795	False	True
SALPA	5	800	51	15	0	0	0	0	0	free	0.86667	0	0	SAL		SAL	SAL	0.62466	4.3555	2.8615	True	False
TASSA	5	800	81	15	0.024691	0	0	0	0	free	0.86667	0	0	TAS		TASS	TAS	0.62466	4.3555	5.268	False	True
HONGI	5	800	52	15	0.028846	0	0	0.22222	0.047619	free	0.86667	0	0	HON		HONG	HON	0.62466	4.3555	3.2468	False	True
ROINED	6	1400	95	25	0.057895	0.021053	0.04	0.19231	0.088235	free	0.36	0	0.12			NED	NED	0.25411	4.3543	2.6022	False	True
TANNA	5	800	51	14	0.029412	0	0	0	0	free	0.92857	0	0	TAN		TAN	TAN	0.66782	4.3461	3.0881	False	True
APING	5	800	55	14	0.054545	0.036364	0	0.14286	0.125	free	0.92857	0	0	PING		PING	PING	0.66782	4.3461	3.7298	False	True
INTIS	5	800	219	48	0.0068493	0	0	0	0.016393	free	0.25	0	0			TIS	TIS	0.19465	4.3432	3.8621	False	True
GALEA	5	800	56	13	0	0	0	0	0	free	1	0	0	LEA		LEA	LEA	0.71763	4.3366	4.2726	True	False
HETERO	6	1400	84	20	0.011905	0.011905	0.05	0.076923	0	free	0.45	0	0			HET	HET	0.31648	4.3355	4.3694	False	True
DESIS	5	800	144	33	0.034722	0.013889	0	0.076923	0.071429	free	0.36364	0	0.12121			SIS	SIS	0.28254	4.3341	3.7592	False	True
METROS	6	1400	69	19	0.065217	0.057971	0.052632	0.16667	0.11111	free	0.47368	0	0			MET	MET	0.33287	4.3315	3.2224	False	True
GENIES	6	1400	61	17	0.040984	0.032787	0.058824	0	0.043478	free	0.52941	0	0			GEN	GEN	0.37144	4.3233	3.471	False	True
ARIAS	5	800	239	56	0.046025	0.020921	0.053571	0.060606	0.083333	free	0.28571	0	0			RIA	RIA	0.21955	4.3208	5.0052	False	True
PERIL	5	800	119	28	0.016807	0	0	0	0.025641	free	0.42857	0	0.17857		PILER	PER	PER	0.33191	4.32	3.4413	False	True
OLLIES	6	1400	59	16	0.033898	0.033898	0	0.15385	0.052632	free	0.4375	0.1875	0			LIES	LIES	0.33189	4.3197	3.1174	False	True
SARGE	5	800	145	42	0.082759	0.055172	0.02381	0.10526	0.10526	cellmate	0.28571	0	0.35714		SAGER,RAGES	SAR	SAR	0.24503	4.319	4.2511	False	True
AETHERS	7	1800	50	12	0.06	0	0	0.36364	0.16667	free	0.5	0	0		HEATERS	HERS	HERS	0.34386	4.3157	4.8363	False	True
HERLS	5	800	121	36	0.057851	0.07438	0.11111	0.041667	0.025	free	0.5	0	0			HER	HER	0.36898	4.3152	4.1934	False	True
TSADI	5	800	182	38	0	0	0	0	0	free	0.31579	0	0.052632			SAD	SAD	0.24428	4.315	4.2888	False	False
KORES	5	800	53	22	0.084906	0.056604	0.045455	0.25	0.1875	free	0.63636	0	0.045455		ROKES	ORES	ORES	0.46731	4.3141	2.9366	False	True
GENOA	5	800	86	25	0.005814	0.011628	0.04	0	0	free	0.56	0	0			GEN	GEN	0.41082	4.3093	3.3685	False	True
AMISS	5	800	63	21	0.039683	0.047619	0.047619	0.14286	0.0625	free	0.66667	0	0.047619	MIS		MISS	MIS	0.48859	4.3047	3.4908	False	True
TRIENES	7	1800	55	11	0.027273	0	0	0.22222	0	free	0.54545	0	0			TRIE	TRIE	0.37394	4.3021	4.522	False	True
SENIORS	7	1800	53	11	0	0	0	0	0	free	0.54545	0	0			SEN	SEN	0.37394	4.3021	4.0145	False	False
RELET	5	800	199	43	0.075377	0.020101	0	0.2381	0.16	free	0.27907	0	0			LET	LET	0.21492	4.2959	4.3063	False	True
RATHAS	6	1400	54	9	0.0092593	0.018519	0.11111	0	0	free	1	0	0	RAT		RATH	RAT	0.69716	4.2906	6.7851	False	True
TENCH	5	800	73	23	0.054795	0.041096	0.043478	0	0.15385	free	0.6087	0	0	TEN		TEN	TEN	0.44477	4.2904	3.1928	False	True
SIROSET	7	1800	56	10	0	0	0	0	0	free	0.6	0	0	ROSE		SIR	ROSE	0.41003	4.2886	8.199	True	False
SEINERS	7	1800	55	10	0.036364	0	0	0.375	0.071429	free	0.6	0	0			SEI	SEI	0.41003	4.2886	3.52	False	True
STANIEL	7	1800	56	10	0	0	0	0	0	free	0.6	0	0	TAN		TAN	TAN	0.41003	4.2886	5.023	True	False
TARDIES	7	1800	59	10	0.016949	0	0	0.083333	0	free	0.6	0	0	TAR		TAR	TAR	0.41003	4.2886	7.3674	False	True
SEITENS	7	1800	50	10	0	0	0	0	0	free	0.6	0	0	TEN		TENS	TEN	0.41003	4.2886	6.3425	True	False
SISTA	5	800	202	42	0.017327	0.029703	0	0	0	free	0.28571	0	0			SIST	SIST	0.21955	4.2865	3.6134	False	True
TESTY	5	800	80	22	0.0875	0.075	0.045455	0	0.12	free	0.63636	0	0			TEST	TEST	0.46406	4.281	3.7326	False	True
LASSI	5	800	97	22	0.087629	0.030928	0.045455	0.15385	0.18182	free	0.63636	0	0	LAS	SAILS	LAS	LAS	0.46406	4.281	5.1325	False	True
SESTINE	7	1800	56	9	0	0	0	0	0	free	0.66667	0	0	TINE		TINE	TINE	0.45415	4.275	7.6981	False	False
AMICE	5	800	61	21	0.02459	0.016393	0.047619	0.1	0	free	0.66667	0	0	ICE		MICE	ICE	0.48519	4.2715	3.3898	False	True
HETHS	5	800	83	31	0.060241	0.096386	0.12903	0	0	free	0.58065	0	0			HET	HET	0.42521	4.268	2.8894	False	True
LENIS	5	800	315	72	0.0047619	0.0031746	0	0.018519	0.019231	cellmate	0.125	0	0.27778		LINES	NIS	NIS	0.1273	4.2607	3.8267	False	True
HORAL	5	800	118	39	0.012712	0	0	0	0.046512	free	0.30769	0	0			ORA	ORA	0.23488	4.2581	3.1626	False	True
NARIS	5	800	367	76	0.0040872	0	0	0	0	free	0.13158	0	0.11842		RAINS	ARIS	ARIS	0.12052	4.2579	7.8237	False	True
BENIS	5	800	87	27	0.051724	0.068966	0.074074	0.083333	0.045455	free	0.55556	0	0.074074	BEN		BEN	BEN	0.413	4.2538	3.4135	False	True
BASTA	5	800	52	19	0.048077	0.057692	0.052632	0	0.052632	free	0.73684	0	0	BAST		BAST	BAST	0.53413	4.2526	2.9885	False	True
AIDAS	5	800	99	18	0.0050505	0.010101	0.055556	0	0	free	0.77778	0	0	AID		AID	AID	0.56267	4.2432	5.5879	False	True
THANA	5	800	66	17	0.037879	0.045455	0.058824	0	0.047619	free	0.82353	0	0	HAN		HAN	HAN	0.59458	4.2337	4.0371	False	True
EGRET	5	800	114	30	0.026316	0.017544	0	0.035714	0.10526	free	0.4	0	0.033333			RET	RET	0.30162	4.2063	3.9775	False	True
RADIO	5	800	115	26	0.034783	0.017391	0	0	0.023256	free	0.46154	0	0.076923			RAD	RAD	0.34764	4.2016	4.1206	False	True
MEREL	5	800	95	26	0.015789	0	0	0	0.026316	free	0.46154	0	0.076923			MERE	MERE	0.34764	4.2016	4.0807	False	True
SABOT	5	800	53	22	0	0	0	0	0	free	0.54545	0	0.13636	BOT	BOAST,BOATS	BOT	BOT	0.4104	4.197	2.906	False	False
TELIC	5	800	132	32	0	0	0	0	0	free	0.375	0	0			TEL	TEL	0.28181	4.192	3.9766	True	False
DRUSE	5	800	81	23	0.0061728	0	0	0	0	free	0.52174	0	0.086957		RUDES	RUSE	RUSE	0.39034	4.1733	2.9317	False	True
OLEIC	5	800	92	30	0	0	0	0	0	free	0.4	0	0			OLE	OLE	0.29925	4.1731	2.7123	True	False
ACETA	5	800	150	29	0.0066667	0	0	0	0.023256	free	0.41379	0	0			ACE	ACE	0.30886	4.1637	6.3638	False	True
PROAS	5	800	96	28	0.03125	0.010417	0	0.0625	0.035714	free	0.42857	0	0			PRO	PRO	0.31917	4.1542	3.3913	False	True
SONIC	5	800	98	24	0.02551	0	0	0.16667	0	free	0.5	0	0.041667			SON	SON	0.37195	4.1496	4.8535	False	True
RETRY	5	800	57	24	0	0	0	0	0	free	0.5	0	0.041667			RET	RET	0.37195	4.1496	2.8751	False	False
PIETA	5	800	125	27	0.028	0.016	0	0.052632	0.021739	free	0.44444	0	0			PIE	PIE	0.33024	4.1448	4.0491	False	True
TENGE	5	800	93	22	0.086022	0.064516	0.090909	0.095238	0.16667	free	0.68182	0	0	TEN		TEN	TEN	0.49576	4.1402	4.1532	False	True
ETHAL	5	800	148	36	0.010135	0	0	0.037037	0.027027	free	0.30556	0	0.19444		LATHE	ETH	ETH	0.24726	4.1378	2.8072	False	True
YETIS	5	800	107	41	0.018692	0.018692	0.02439	0.1	0.027027	free	0.31707	0	0			TIS	TIS	0.24142	4.1363	2.6004	False	True
FIERE	5	800	72	26	0.034722	0.013889	0	0.1	0	free	0.46154	0	0			ERE	ERE	0.34216	4.1353	2.5546	False	True
LORAL	5	800	80	26	0.03125	0	0	0.22222	0.086957	free	0.46154	0	0	LOR		LOR	LOR	0.34216	4.1353	3.9363	False	True
WRITS	5	800	66	21	0.098485	0.075758	0.095238	0	0.083333	free	0.71429	0	0	RIT		RITS	RIT	0.5184	4.1308	3.4218	False	True
MEDAL	5	800	77	22	0.071429	0.025974	0	0.090909	0.10714	free	0.54545	0	0.045455			DAL	DAL	0.40392	4.1307	3.3621	False	True
GENRE	5	800	109	22	0.013761	0	0	0.055556	0.032258	free	0.54545	0	0.045455			GEN	GEN	0.40392	4.1307	3.6433	False	True
LOTAH	5	800	95	22	0	0	0	0	0	free	0.54545	0	0.045455	LOT		LOT	LOT	0.40392	4.1307	4.7685	True	False
ENURE	5	800	101	24	0.009901	0	0	0.047619	0.032258	free	0.5	0	0			URE	URE	0.36898	4.1164	3.1239	False	True
DRERE	5	800	119	24	0	0	0	0	0	free	0.5	0	0			ERE	ERE	0.36898	4.1164	2.9303	False	False
FERAL	5	800	70	20	0.071429	0.014286	0	0	0.13636	free	0.6	0	0.05			FER	FER	0.44227	4.1118	2.7784	False	True
ETHNE	5	800	108	23	0	0	0	0	0	free	0.52174	0	0			ETH	ETH	0.38414	4.107	3.0616	True	False
ADMEN	5	800	59	19	0	0	0	0	0	free	0.63158	0	0.052632	MEN		MEN	MEN	0.46448	4.1023	3.0761	True	False
ARISTO	6	1400	159	39	0	0	0	0	0	free	0.17949	0	0			ARIS	ARIS	0.12925	4.1005	4.2318	True	False
TEMED	5	800	81	22	0.037037	0.012346	0	0.05	0.12903	free	0.54545	0	0			TEME	TEME	0.40067	4.0975	3.5998	False	True
