gid	dOpen	margin	dN
3865	0.0666667	-5100	-14
3885	0.6	7900	26
3886	0.6	-1100	9
3887	0.133333	1500	7
3888	-0.0666667	5300	6
3890	0.6	12500	12
3891	0.133333	9100	8
3892	1.2	5200	8
3893	0.333333	5500	19
3894	0.133333	-700	-3
3895	0.666667	6200	-10
3896	0.466667	6900	2
3897	0.533333	5800	7
3898	0.533333	21300	9
3899	0	-500	-6
3900	0.133333	7300	4
3901	0.866667	20700	7
3902	0.2	5700	2
3903	0.6	16500	10
3904	0.133333	2000	2
3905	0.333333	-6700	21
3907	0.333333	13600	10
3909	0.266667	-1000	6
3921	0.4	8900	20
3922	0.333333	1800	9
3926	0.866667	15000	8
3929	-0.4	11200	3
4036	0.533333	15100	15
4038	0.4	13300	21
4044	0	13900	7
4045	0.466667	10400	13
4093	-0.6	13200	21
4117	0.0666667	8700	21
4133	0.0666667	2100	-1
4134	0.266667	17000	29
4136	0	11400	2
4161	0.133333	700	11
4168	0.533333	-9700	-12
4169	-0.266667	-600	20
4170	0.0666667	4500	1
4182	0.6	1800	8
4185	0.466667	11600	3
4187	0.333333	3900	8
4188	0.533333	10200	11
4208	-0.133333	6900	11
4210	1.33333	9500	1
4211	0.266667	10900	14
4212	-0.0666667	-800	10
4213	-0.0666667	1200	10
4214	-0.0666667	-3000	-1
4215	0.2	-6900	-12
4216	-0.0666667	24300	5
4217	0.733333	5100	0
4218	0	1600	-2
4219	-0.266667	600	11
4220	0.266667	6300	20
4221	0.133333	3000	9
4222	0.266667	4000	14
4277	-0.133333	11100	23
4278	0.466667	5700	22
4279	0.533333	400	10
4281	0.866667	10000	11
4282	-0.133333	-100	10
4291	0.6	3300	1
4292	0.6	10900	6
4315	0.466667	3400	37
4319	-0.133333	21300	36
4332	0.866667	9800	3
4337	1.06667	2400	10
4338	0.533333	-8600	-6
4339	0.6	8200	23
4352	0.8	28900	15
4353	-0.2	6300	14
4354	1	500	16
4355	0.133333	7100	17
4356	0.466667	6400	-6
4357	0	1200	11
4359	0.266667	16100	8
4360	0.133333	-1800	-1
4363	-0.133333	-2400	18
4366	0.0666667	8900	25
4371	0.533333	11900	30
4374	0.8	10400	13
4375	0.933333	-2700	3
4376	0.2	8700	3
4378	0.533333	4200	13
4379	0.333333	3600	-20
4380	0.0666667	-200	3
4438	-0.133333	-3000	13
4440	0.0666667	12300	29
4443	0.133333	-6900	-2
4444	0.0666667	7400	13
4445	0.266667	100	7
4446	0.333333	9000	37
4447	0.0666667	15900	13
4448	0.266667	7200	-9
4449	0.533333	6600	12
4457	0.533333	7600	16
4469	0	17600	15
