word	times	strengthWeighted	inLosses	len	pts	present	playerFound	oppFound	pointsTotal	strengthWeightedPoints	playerFindRate	oppFindRate	excessPoints	anagramKey	anagramDictSize	branchStem
TIES	260	114.708	115	4	400	1401	373	385	104000	45883.4	0.266238	0.274804	4800	EIST	3	TIE
LASER	122	56.725	56	5	800	539	275	275	97600	45380	0.510204	0.510204	0	AELRS	9	LASE
STALER	70	32.0789	44	6	1400	262	118	127	98000	44910.5	0.450382	0.484733	12600	AELRST	12	STALE
TANE	256	112.245	107	4	400	1131	309	382	102400	44897.8	0.27321	0.337754	29200	AENT	4	TAN
STIRE	120	56.0192	59	5	800	751	442	353	96000	44815.4	0.588549	0.47004	-71200	EIRST	7	STIR
TEARER	63	31.8291	41	6	1400	124	7	67	88200	44560.8	0.0564516	0.540323	84000	AEERRT	3	TEAR
DATES	123	55.5477	66	5	800	426	194	244	98400	44438.2	0.455399	0.57277	40000	ADEST	7	DATE
LATE	250	110.768	108	4	400	1049	594	641	100000	44307.2	0.566254	0.611058	18800	AELT	6	LAT
RETAIN	65	31.5413	34	6	1400	329	147	142	91000	44157.8	0.446809	0.431611	-7000	AEINRT	3	TAIN
ANTES	116	55.0871	56	5	800	653	306	215	92800	44069.7	0.468606	0.32925	-72800	AENST	6	ANTE
RENTS	116	55.079	58	5	800	628	403	339	92800	44063.2	0.64172	0.539809	-51200	ENRST	4	RENT
RASED	114	54.9143	67	5	800	429	86	139	91200	43931.5	0.200466	0.324009	42400	ADERS	7	RASE
STARS	126	54.8197	56	5	800	400	91	169	100800	43855.8	0.2275	0.4225	62400	ARSST	3	STAR
STANE	117	54.6893	55	5	800	613	301	262	93600	43751.4	0.491028	0.427406	-31200	AENST	6	TANE
NEAR	250	109.302	102	4	400	1131	344	384	100000	43720.9	0.304156	0.339523	16000	AENR	4	EAR
DERATS	51	30.7617	36	6	1400	295	49	69	71400	43066.4	0.166102	0.233898	28000	ADERST	6	DERAT
TASE	237	107.638	112	4	400	1459	812	631	94800	43055	0.556546	0.432488	-72400	AEST	10	TAS
ASTERN	53	30.73	38	6	1400	303	0	53	74200	43022	0	0.174917	74200	AENRST	4	ASTER
LARES	116	53.7247	56	5	800	624	373	322	92800	42979.7	0.597756	0.516026	-40800	AELRS	9	LARE
ATONE	111	53.529	63	5	800	380	87	159	88800	42823.2	0.228947	0.418421	57600	AENOT	2	TONE
STEN	226	106.781	102	4	400	1468	412	348	90400	42712.5	0.280654	0.237057	-25600	ENST	6	TEN
INTER	116	53.3356	65	5	800	624	326	269	92800	42668.5	0.522436	0.43109	-45600	EINRT	5	
