affix	opps	taken	forgone	rate	oppOpps	oppTaken	oppRate	p	q	excessForgone
LEN-	33	1	48400	0.030303	34	2	0.058824	0.28626	0.55497	1420.3
ANT-	44	12	48400	0.27273	34	2	0.058824	0.99268	1	-14032
TET-	34	4	47600	0.11765	32	4	0.125	0.46356	0.76181	391.18
-SAL	34	0	47600	0	33	1	0.030303	0.15323	0.38346	1442.4
-HA	60	3	47400	0.05	50	1	0.02	0.79869	1	-1494
SK-	59	12	47200	0.20339	36	6	0.16667	0.67115	0.91919	-2269.5
-UT	74	16	47000	0.21622	61	16	0.2623	0.26548	0.5276	2783.2
-BS	74	18	46600	0.24324	59	10	0.16949	0.85001	1	-4498.9
MEA-	46	18	46400	0.3913	30	10	0.33333	0.69571	0.94042	-4313
MAS-	36	6	46400	0.16667	32	8	0.25	0.19814	0.45065	4733.3
-IM	49	0	46200	0	31	2	0.064516	0.035879	0.15589	2980.6
-DON	33	0	46200	0	33	1	0.030303	0.15681	0.38741	1400
LIT-	44	12	45600	0.27273	42	8	0.19048	0.81661	1	-5165.4
WE-	58	12	45600	0.2069	42	11	0.2619	0.25942	0.5245	3267.5
NET-	34	6	45600	0.17647	35	8	0.22857	0.29528	0.56372	2896.8
-OTE	42	10	45600	0.2381	33	2	0.060606	0.98129	1	-10578
-CT	55	5	45400	0.090909	38	3	0.078947	0.58013	0.85746	-590.91
COS-	42	13	45400	0.30952	36	7	0.19444	0.87705	1	-7457.1
OT-	66	17	45200	0.25758	46	8	0.17391	0.85224	1	-5120.2
TAI-	34	4	45200	0.11765	32	4	0.125	0.46356	0.76181	385.29
FU-	40	0	44800	0	32	1	0.03125	0.13011	0.35794	1400
-VE	72	24	44600	0.33333	72	29	0.40278	0.19381	0.44238	4430.6
-TRA	31	0	44200	0	32	1	0.03125	0.16056	0.39055	1381.2
KI-	56	8	44200	0.14286	40	3	0.075	0.84828	1	-3433.6
TIT-	47	17	44000	0.3617	33	15	0.45455	0.20201	0.45615	6369.1
-NEL	30	0	43600	0	35	1	0.028571	0.1754	0.417	1245.7
