word	len	trials	finds	vowelInitial	removedByFlux	commonEnglish	comparable	compP10	compMedian	pZeroAtP10	pZeroAtMedian	compP10SameInitial	compMedianSameInitial	pZeroAtP10SameInitial	pZeroAtMedianSameInitial	qAtMedian	qAtMedianSameInitial	qAtP10SameInitial
ALEPH	5	152	0	True	False	True	1423	0.01057	0.129	0.1988	7.591e-10	0.006173	0.02604	0.3902	0.01812	1.681e-09	0.02262	0.4013
ALEWS	5	104	0	True	False	False	1456	0.01316	0.1222	0.2522	1.294e-06	0.009785	0.03038	0.3596	0.0404	1.555e-06	0.04316	0.3971
ALISON	6	130	0	True	False	True	1235	0.01042	0.1224	0.2563	4.221e-08	0.008475	0.03125	0.3308	0.01613	6.684e-08	0.02067	0.3971
AMRIT	5	204	0	True	False	False	1342	0.009259	0.1405	0.1499	3.881e-14	0.005097	0.02763	0.3526	0.003297	1.602e-13	0.004812	0.3971
AMRITS	6	104	0	True	False	False	1400	0.0119	0.1136	0.2878	3.562e-06	0.009434	0.03125	0.3731	0.03681	3.702e-06	0.04069	0.3971
ANENST	6	168	0	True	False	True	998	0.0108	0.1346	0.1613	2.849e-11	0.006879	0.03384	0.3136	0.003077	8.152e-11	0.004537	0.3971
ANESTRA	7	186	0	True	False	False	139	0.0118	0.1127	0.11	2.204e-10	0.005697	0.01974	0.3456	0.02453	5.54e-10	0.02888	0.3971
ANETIC	6	170	0	True	False	False	972	0.01066	0.1337	0.1617	2.513e-11	0.006849	0.03472	0.3109	0.00246	7.263e-11	0.003693	0.3971
ANLAS	5	226	0	True	False	False	1269	0.009844	0.1446	0.1069	4.707e-16	0.004926	0.03109	0.3276	0.0007946	2.675e-15	0.001269	0.3971
ANOAS	5	220	0	True	False	False	1317	0.00996	0.1455	0.1106	9.588e-16	0.004936	0.03109	0.3367	0.0009604	5.228e-15	0.001504	0.3971
ANSAE	5	436	0	True	False	False	780	0.01047	0.19	0.01014	1.269e-40	0.00451	0.04072	0.1393	1.341e-08	2.933e-39	3.203e-08	0.3971
ANTRAL	6	128	0	True	False	True	1285	0.01064	0.122	0.2544	5.894e-08	0.008682	0.03125	0.3275	0.01718	8.918e-08	0.02173	0.3971
ANURA	5	112	0	True	False	False	1434	0.0122	0.1309	0.253	1.507e-07	0.009364	0.02459	0.3486	0.06151	2.109e-07	0.06162	0.3971
AORIST	6	240	0	True	False	True	660	0.01071	0.1328	0.07551	1.394e-15	0.005459	0.03595	0.2688	0.0001528	7.196e-15	0.0002523	0.3971
AORTAE	6	218	0	True	False	False	752	0.01087	0.1408	0.09232	4.336e-15	0.005489	0.03849	0.3013	0.0001922	2.106e-14	0.0003156	0.3971
AORTAL	6	104	0	True	False	True	1400	0.0119	0.1136	0.2878	3.562e-06	0.009434	0.03125	0.3731	0.03681	3.702e-06	0.04069	0.3971
AORTAS	6	174	0	True	False	False	993	0.01087	0.1351	0.1493	1.069e-11	0.006606	0.03356	0.3156	0.002634	3.34e-11	0.003933	0.3971
APIAN	5	104	0	True	False	True	1456	0.01316	0.1222	0.2522	1.294e-06	0.009785	0.03038	0.3596	0.0404	1.555e-06	0.04316	0.3971
APISH	5	116	0	True	False	True	1478	0.0119	0.131	0.2493	8.493e-08	0.008475	0.02439	0.3726	0.05701	1.243e-07	0.05771	0.3971
ARDRI	5	108	0	True	False	True	1494	0.01282	0.125	0.2482	5.456e-07	0.009488	0.02632	0.3571	0.05613	7.023e-07	0.05721	0.3971
ARECA	5	322	0	True	False	False	1008	0.01047	0.1639	0.03375	9.383e-26	0.004202	0.04355	0.2577	5.928e-07	9.861e-25	1.035e-06	0.3971
ARECAS	6	126	0	True	False	False	1242	0.01064	0.1181	0.2599	1.323e-07	0.008591	0.03125	0.3372	0.01831	1.875e-07	0.02262	0.3971
ARENA	5	794	4	True	False	True	387	0.01467	0.261	7.988e-06	4.792e-105	0.005033	0.03556	0.0182	3.269e-13	6.924e-103	1.835e-12	0.2501
AREOLA	6	158	0	True	False	True	1032	0.009026	0.1293	0.2387	3.151e-10	0.007195	0.0348	0.3195	0.00371	7.464e-10	0.005281	0.3971
AREOLE	6	156	0	True	False	True	1065	0.009415	0.1293	0.2286	4.156e-10	0.007215	0.0348	0.3231	0.003982	9.571e-10	0.005627	0.3971
ARGIL	5	110	0	True	False	True	1455	0.0125	0.1282	0.2507	2.79e-07	0.009382	0.02512	0.3546	0.06093	3.741e-07	0.06136	0.3971
ARHAT	5	170	0	True	False	True	1401	0.009615	0.127	0.1935	9.414e-11	0.005896	0.02604	0.3659	0.01127	2.485e-10	0.01467	0.3971
ARIOT	5	508	0	True	False	True	662	0.0106	0.1965	0.004458	5.471e-49	0.004944	0.0343	0.08062	1.999e-08	2.108e-47	4.566e-08	0.3971
ARISTA	6	298	0	True	False	True	488	0.0121	0.1835	0.02658	5.762e-27	0.006252	0.06385	0.1543	2.887e-09	6.797e-26	7.619e-09	0.3971
ARISTAE	7	120	0	True	False	False	365	0.01538	0.1042	0.1556	1.85e-06	0.01097	0.03125	0.2663	0.02215	2.081e-06	0.02634	0.3971
ARISTO	6	318	0	True	False	False	432	0.01285	0.189	0.01634	1.159e-29	0.006593	0.07025	0.122	8.71e-11	1.558e-28	3.269e-10	0.3971
AROHA	5	184	0	True	False	False	1424	0.009259	0.1316	0.1806	5.348e-12	0.005587	0.02604	0.3567	0.007788	1.756e-11	0.0105	0.3971
ARSENAL	7	128	0	True	False	True	324	0.01546	0.1084	0.1362	4.196e-07	0.01094	0.03069	0.2446	0.01851	5.487e-07	0.0228	0.3971
ARVO	4	138	0	True	False	False	855	0.01923	0.1641	0.06858	1.82e-11	0.007084	0.03906	0.3749	0.004092	5.394e-11	0.005769	0.3971
ARYL	4	188	0	True	False	True	955	0.01829	0.1667	0.03109	1.3e-15	0.00575	0.03158	0.3382	0.002399	6.893e-15	0.003611	0.3971
ASLANT	6	110	0	True	False	True	1373	0.01163	0.1154	0.2762	1.39e-06	0.009434	0.03125	0.3525	0.03043	1.628e-06	0.03462	0.3971
ASPIE	5	190	0	True	True	False	1395	0.008867	0.1393	0.1841	4.146e-13	0.005237	0.02632	0.3688	0.006302	1.517e-12	0.008672	0.3971
ASPRO	5	180	0	True	False	False	1449	0.009328	0.1284	0.1851	1.816e-11	0.005728	0.02763	0.3556	0.006458	5.394e-11	0.008866	0.3971
ASURA	5	126	0	True	False	False	1388	0.01277	0.1361	0.198	9.896e-09	0.007945	0.02545	0.366	0.03883	1.857e-08	0.04211	0.3971
ATAPS	5	136	0	True	False	False	1427	0.01042	0.1288	0.2407	7.192e-09	0.006757	0.02459	0.3977	0.03384	1.39e-08	0.03806	0.403
ATELIC	6	118	0	True	False	False	1299	0.01111	0.1186	0.2675	3.372e-07	0.008836	0.03125	0.3509	0.0236	4.501e-07	0.02784	0.3971
ATMA	4	314	0	True	False	True	924	0.02027	0.1946	0.001612	3.113e-30	0.004512	0.02761	0.2417	0.0001522	4.389e-29	0.000252	0.3971
ATMAN	5	116	0	True	False	True	1478	0.0119	0.131	0.2493	8.493e-08	0.008475	0.02439	0.3726	0.05701	1.243e-07	0.05771	0.3971
ATMAS	5	128	0	True	False	False	1451	0.01111	0.13	0.2393	1.813e-08	0.0073	0.02459	0.3915	0.0413	3.129e-08	0.04388	0.4017
ATMOS	5	174	0	True	False	True	1432	0.009524	0.1269	0.1892	5.533e-11	0.005882	0.02747	0.3582	0.007851	1.523e-10	0.0105	0.3971
ATOCS	5	200	0	True	False	False	1385	0.009009	0.1385	0.1637	1.135e-13	0.005139	0.02689	0.3569	0.004286	4.555e-13	0.006027	0.3971
ATRESIA	7	224	0	True	False	True	93	0.0106	0.1394	0.09185	2.471e-15	0.00557	0.03119	0.2862	0.000827	1.253e-14	0.001303	0.3971
ATRESIC	7	104	0	True	False	True	443	0.01562	0.114	0.1944	3.399e-06	0.01312	0.03615	0.2531	0.02173	3.611e-06	0.02605	0.3971
ATRIA	5	578	0	True	False	True	567	0.01187	0.2132	0.001004	6.415e-61	0.007027	0.04072	0.01698	3.659e-11	3.371e-59	1.489e-10	0.2501
ATRIAL	6	168	0	True	False	True	998	0.0108	0.1346	0.1613	2.849e-11	0.006879	0.03384	0.3136	0.003077	8.152e-11	0.004537	0.3971
ATUA	4	290	0	True	False	False	933	0.01948	0.1875	0.003328	7.06e-27	0.004292	0.02518	0.2873	0.0006142	8.001e-26	0.0009917	0.3971
ATUAS	5	126	0	True	False	False	1388	0.01277	0.1361	0.198	9.896e-09	0.007945	0.02545	0.366	0.03883	1.857e-08	0.04211	0.3971
AUA	3	240	0	True	False	False	143	0.04227	0.2061	3.151e-05	8.679e-25	0.01035	0.06686	0.08243	6.121e-08	8.801e-24	1.263e-07	0.3971
AUAS	4	150	0	True	False	False	880	0.01852	0.1626	0.06058	2.739e-12	0.006667	0.03714	0.3666	0.003425	9.369e-12	0.004974	0.3971
AULA	4	186	0	True	False	True	929	0.01829	0.1652	0.03226	2.586e-15	0.005663	0.03377	0.3477	0.001677	1.289e-14	0.002572	0.3971
AUREI	5	228	0	True	False	False	1302	0.009644	0.145	0.1098	3.065e-16	0.004946	0.03071	0.3229	0.000816	1.826e-15	0.001296	0.3971
AURIS	5	182	0	True	False	False	1435	0.009524	0.129	0.1752	1.203e-11	0.005714	0.02632	0.3524	0.0078	3.646e-11	0.0105	0.3971
AURIST	6	110	0	True	False	True	1373	0.01163	0.1154	0.2762	1.39e-06	0.009434	0.03125	0.3525	0.03043	1.628e-06	0.03462	0.3971
AYRIE	5	112	0	True	False	False	1434	0.0122	0.1309	0.253	1.507e-07	0.009364	0.02459	0.3486	0.06151	2.109e-07	0.06162	0.3971
BINAL	5	100	0	False	False	True	1526	0.01351	0.125	0.2565	1.588e-06	0.01429	0.1458	0.2372	1.426e-07	1.821e-06	2.609e-07	0.3971
BINT	4	254	0	False	True	True	945	0.02019	0.1875	0.005626	1.245e-23	0.02763	0.2098	0.0008123	1.063e-26	1.18e-22	2.363e-25	0.03913
BINTS	5	126	0	False	True	False	1388	0.01277	0.1361	0.198	9.896e-09	0.01613	0.1611	0.1289	2.447e-10	1.857e-08	7.947e-10	0.3971
BLERT	5	158	0	False	False	False	1426	0.01031	0.1289	0.1945	3.388e-10	0.01431	0.1523	0.1026	4.562e-12	7.961e-10	2.161e-11	0.3971
CAESAR	6	114	0	False	False	False	1379	0.01136	0.1181	0.2718	6.03e-07	0.01351	0.1548	0.212	4.738e-09	7.56e-07	1.17e-08	0.3971
CALESA	6	106	0	False	False	False	1367	0.01163	0.1125	0.2894	3.205e-06	0.01282	0.1429	0.2547	8.01e-08	3.424e-06	1.586e-07	0.3971
CATENA	6	132	0	False	False	True	1196	0.01	0.1216	0.2654	3.703e-08	0.01282	0.1562	0.1821	1.821e-10	6.047e-08	5.979e-10	0.3971
CECA	4	110	0	False	False	False	756	0.02	0.1522	0.1084	1.299e-08	0.02174	0.1638	0.08913	2.848e-09	2.34e-08	7.551e-09	0.3971
CERIAS	6	142	0	False	False	False	1188	0.009615	0.1185	0.2536	1.657e-08	0.0122	0.1538	0.1751	4.987e-11	2.956e-08	1.974e-10	0.3971
CERITE	6	158	0	False	False	True	1032	0.009026	0.1293	0.2387	3.151e-10	0.0129	0.1667	0.1285	3.086e-13	7.464e-10	1.766e-12	0.3971
CESTOS	6	100	0	False	False	False	1506	0.0125	0.1144	0.2843	5.273e-06	0.01351	0.1463	0.2565	1.344e-07	5.291e-06	2.514e-07	0.3971
CIAO	4	360	0	False	False	False	867	0.01936	0.1909	0.000877	7.569e-34	0.02974	0.2272	1.906e-05	4.959e-41	1.151e-32	2.047e-39	0.001377
CINEAST	7	104	0	False	False	False	443	0.01562	0.114	0.1944	3.399e-06	0.01754	0.1413	0.1587	1.316e-07	3.611e-06	2.514e-07	0.3971
CITOLE	6	108	0	False	False	True	1418	0.01163	0.1154	0.2828	1.776e-06	0.01282	0.1509	0.2482	2.114e-08	2.005e-06	4.7e-08	0.3971
CNIDA	5	110	0	False	False	True	1455	0.0125	0.1282	0.2507	2.79e-07	0.01577	0.1512	0.174	1.481e-08	3.741e-07	3.46e-08	0.3971
COHEN	5	106	0	False	False	False	1416	0.01282	0.125	0.2547	7.126e-07	0.01538	0.1477	0.1933	4.379e-08	8.839e-07	9.237e-08	0.3971
CRIP	4	174	0	False	True	False	938	0.01845	0.1642	0.03915	2.778e-14	0.02283	0.1769	0.01797	1.926e-15	1.189e-13	1.409e-14	0.2501
DACITE	6	100	0	False	False	True	1506	0.0125	0.1144	0.2843	5.273e-06	0.01351	0.1463	0.2565	1.344e-07	5.291e-06	2.514e-07	0.3971
DAGO	4	156	0	False	True	False	878	0.01845	0.162	0.05474	1.066e-12	0.02273	0.1724	0.0277	1.51e-13	3.713e-12	9.382e-13	0.3139
DANIO	5	226	0	False	False	True	1269	0.009844	0.1446	0.1069	4.707e-16	0.01311	0.172	0.05063	2.95e-19	2.675e-15	3.343e-18	0.3971
DHOL	4	176	0	False	False	False	931	0.01899	0.1646	0.03426	1.78e-14	0.02236	0.1777	0.01868	1.109e-15	7.852e-14	8.434e-15	0.2501
DHOTI	5	106	0	False	False	True	1416	0.01282	0.125	0.2547	7.126e-07	0.01538	0.1477	0.1933	4.379e-08	8.839e-07	9.237e-08	0.3971
DOLIA	5	210	0	False	False	True	1327	0.009159	0.141	0.1448	1.367e-14	0.01269	0.1686	0.06842	1.444e-17	6.174e-14	1.325e-16	0.3971
DONAH	5	130	0	False	False	False	1432	0.01097	0.1283	0.2383	1.771e-08	0.01613	0.1541	0.1208	3.544e-10	3.093e-08	1.107e-09	0.3971
DOSAI	5	212	0	False	False	False	1304	0.009084	0.1403	0.1445	1.193e-14	0.01211	0.1685	0.07558	1.035e-17	5.472e-14	9.975e-17	0.3971
DREK	4	140	0	False	False	False	881	0.01887	0.1644	0.06948	1.205e-11	0.02239	0.1724	0.04201	3.118e-12	3.646e-11	1.54e-11	0.3971
DRERES	6	130	0	False	False	False	1235	0.01042	0.1224	0.2563	4.221e-08	0.01355	0.1607	0.1697	1.283e-10	6.684e-08	4.607e-10	0.3971
DROPT	5	102	0	False	False	True	1476	0.01316	0.119	0.259	2.427e-06	0.01562	0.1413	0.2006	1.785e-07	2.637e-06	3.136e-07	0.3971
ECADS	5	150	0	True	False	False	1423	0.01099	0.1284	0.1906	1.12e-09	0.006498	0.02632	0.3761	0.01831	2.398e-09	0.02262	0.3971
EDDO	4	198	0	True	False	True	949	0.01827	0.1686	0.02596	1.324e-16	0.005532	0.03125	0.3334	0.001862	8.229e-16	0.002832	0.3971
EDEMA	5	146	0	True	False	True	1403	0.01075	0.1284	0.2063	1.94e-09	0.006667	0.02747	0.3766	0.01713	4.078e-09	0.02173	0.3971
