word	len	present	found	opp	pts	lc	beliefRaw	beliefWeighted	refN	refK	refRate	p	q	refForgone	foundStem	kind	reference
HISTED	6	24	0	15.9271	1400	6	0.0167842	0.0198857	7	3	0.428571	1.46922e-06	0.000211784	14400	HIST	branch miss	topQuartile
SINNET	6	24	0	14.5822	1400	6	0.0167842	0.0215915	7	3	0.428571	1.46922e-06	0.000211784	14400	SIN	branch miss	topQuartile
EMITS	5	49	0	37.6319	800	5	0.0123675	0.0120696	11	4	0.363636	2.40748e-10	1.00805e-07	14254.5	ITS	branch miss	topQuartile
SITAR	5	128	0	87.9368	800	5	0.00489597	0.00528012	29	4	0.137931	5.61536e-09	1.54299e-06	14124.1	SIT	branch miss	topQuartile
DARRES	6	20	0	13.9125	1400	6	0.0198066	0.0225549	6	3	0.5	9.53674e-07	0.000149744	14000	RES	branch miss	topQuartile
RENIN	5	63	0	44.3709	800	5	0.0097348	0.010296	18	5	0.277778	1.24814e-09	4.22111e-07	14000	REN	branch miss	topQuartile
ITHER	5	61	0	43.9487	800	5	0.0100401	0.0103917	14	4	0.285714	1.21952e-09	4.22111e-07	13942.9	THE	branch miss	topQuartile
EGRETS	6	23	0	16.0193	1400	6	0.0174499	0.0197786	7	3	0.428571	2.57113e-06	0.000347815	13800	RETS	branch miss	topQuartile
THROE	5	34	0	25.8403	800	5	0.017413	0.017277	8	4	0.5	5.82077e-11	2.69379e-08	13600	THRO	branch miss	topQuartile
STEEDS	6	12	0	7.17328	1400	6	0.0309546	0.0409373	5	4	0.8	4.096e-09	1.20054e-06	13440	STEED	branch miss	topQuartile
TONIEST	7	18	0	7.173	1800	7	0.0156721	0.0413304	5	2	0.4	0.00010156	0.00769842	12960	NIES	branch miss	topQuartile
TENDRE	6	22	0	14.8463	1400	6	0.0181706	0.0212338	5	2	0.4	1.31622e-05	0.00148378	12320	TEND	branch miss	topQuartile
SANNIE	6	20	0	9.43218	1400	6	0.0198066	0.0321537	7	3	0.428571	1.37797e-05	0.00153373	12000	SAN	branch miss	topQuartile
DRIEST	6	34	0	22.3383	1400	6	0.0121494	0.0144453	12	3	0.25	5.65045e-05	0.00477735	11900	DRIES	branch miss	topQuartile
SERAI	5	166	0	115.79	800	5	0.00379359	0.00402612	45	4	0.0888889	1.94466e-07	4.38445e-05	11804.4	SERA	branch miss	topQuartile
ARMETS	6	25	0	15.9803	1400	6	0.0161674	0.0198237	9	3	0.333333	3.96021e-05	0.00355328	11666.7	METS	branch miss	topQuartile
PATENS	6	22	0	13.5765	1400	6	0.0181706	0.0230715	8	3	0.375	3.23117e-05	0.00302252	11550	PATE	branch miss	topQuartile
LIARD	5	36	0	23.3736	800	5	0.0165147	0.0189911	5	2	0.4	1.03144e-08	2.74833e-06	11520	LIAR	branch miss	topQuartile
ENTERAL	7	17	0	7.01655	1800	7	0.0165085	0.042147	8	3	0.375	0.000338813	0.0199945	11475	ENTER	branch miss	topQuartile
EDIT	4	157	0	117.059	400	4	0.00633424	0.00630542	33	6	0.181818	2.07693e-14	2.02916e-11	11418.2	DIT	branch miss	topQuartile
DEROS	5	89	0	61.2587	800	5	0.0069767	0.00752502	19	3	0.157895	2.27828e-07	4.88609e-05	11242.1		true gap	topQuartile
HORSTE	6	24	0	18.3315	1400	6	0.0167842	0.0174245	9	3	0.333333	5.94032e-05	0.00483497	11200	HORS	branch miss	topQuartile
RAMETS	6	24	0	15.1241	1400	6	0.0167842	0.0208702	6	2	0.333333	5.94032e-05	0.00483497	11200	METS	branch miss	topQuartile
REMET	5	35	0	24.526	800	5	0.0169519	0.0181498	15	6	0.4	1.71907e-08	4.3188e-06	11200	REM	branch miss	topQuartile
RANGA	5	23	0	15.3841	800	5	0.0248464	0.0279829	5	3	0.6	7.03687e-10	2.69023e-07	11040	RANG	branch miss	topQuartile
ALLIES	6	21	0	10.7849	1400	6	0.0189533	0.0284928	8	3	0.375	5.16988e-05	0.00441347	11025	LIES	branch miss	topQuartile
INSET	5	164	0	124.366	800	5	0.00383908	0.00375177	36	3	0.0833333	6.34857e-07	0.000113924	10933.3	INS	branch miss	topQuartile
BERATE	6	23	0	15.8574	1400	6	0.0174499	0.0199675	9	3	0.333333	8.91048e-05	0.00687279	10733.3	RATE	branch miss	topQuartile
MESTER	6	30	0	22.4431	1400	6	0.013658	0.0143809	8	2	0.25	0.000178582	0.0122678	10500	ESTER	branch miss	topQuartile
SIENTS	6	37	0	21.5163	1400	6	0.0112199	0.0149704	5	1	0.2	0.000259615	0.016423	10360	SIEN	branch miss	topQuartile
ALERTS	6	59	0	41.1124	1400	6	0.0071875	0.00802003	16	2	0.125	0.000378857	0.0222086	10325	ALE	branch miss	topQuartile
SLIER	5	69	0	50.2096	800	5	0.00892094	0.00913324	27	5	0.185185	7.29567e-07	0.000121039	10222.2	LIER	branch miss	topQuartile
DARRE	5	34	0	23.0331	800	5	0.017413	0.0192547	8	3	0.375	1.14794e-07	2.72807e-05	10200		true gap	topQuartile
DOEST	5	72	0	57.52	800	5	0.00856299	0.00800178	17	3	0.176471	8.48978e-07	0.000135728	10164.7	DOES	branch miss	topQuartile
OATEN	5	93	0	69.2589	800	5	0.0066853	0.0066741	22	3	0.136364	1.19888e-06	0.000179393	10145.5	OAT	branch miss	topQuartile
SALTERN	7	14	0	7.06674	1800	7	0.0196559	0.0418816	5	2	0.4	0.000783642	0.0378602	10080	SALTER	branch miss	topQuartile
TRAINEE	7	14	0	6.81766	1800	7	0.0196559	0.0432328	5	2	0.4	0.000783642	0.0378602	10080	TRAIN	branch miss	topQuartile
ONSET	5	127	0	97.1163	800	5	0.0049337	0.00478858	31	3	0.0967742	2.43296e-06	0.000339572	9832.26	ONS	branch miss	topQuartile
TOLARS	6	21	0	14.5138	1400	6	0.0189533	0.0216862	6	2	0.333333	0.000200486	0.0133551	9800	TOLA	branch miss	topQuartile
OUTRED	6	14	0	9.43423	1400	6	0.0271362	0.0321474	6	3	0.5	6.10352e-05	0.00483497	9800	OUTRE	branch miss	topQuartile
ADORES	6	38	0	24.7588	1400	6	0.0109409	0.0130929	11	2	0.181818	0.000487858	0.0266674	9672.73	DORES	branch miss	topQuartile
PATEN	5	42	0	30.0725	800	5	0.0143013	0.0149603	14	4	0.285714	7.28824e-07	0.000121039	9600	PATE	branch miss	topQuartile
NITHER	6	24	0	14.3252	1400	6	0.0167842	0.0219514	7	2	0.285714	0.000311119	0.0188667	9600	NIT	branch miss	topQuartile
