oppName	games	wins	exp	var	overlap	oppOpen10	oppLongShare	z	p	q
travisnguyen	19	18	13.3836	3.85977	0.408473	4.13684	0.738056	2.34978	0.0187846	0.0972382
Gomoku	18	3	5.95439	3.90714	0.474718	4.43889	0.735486	-1.49465	0.135007	0.339446
aaratrik17	18	17	12.4198	3.75082	0.375416	4.13333	0.709096	2.36497	0.0180317	0.0972382
beckstein	17	12	12.5693	3.25065	0.171535	5.51765	0.997753	-0.315739	0.7522	0.846362
snoogaze	16	4	8.62395	3.73583	0.457105	4.43125	0.75467	-2.39232	0.0167421	0.0972382
OllieOakHunt	16	14	10.7134	3.37167	0.444358	3.95	0.651629	1.78987	0.0734744	0.214207
Barlo	15	10	9.58348	3.44251	0.461045	4.57333	0.690143	0.224492	0.822375	0.878397
kiki	15	2	5.62882	3.41391	0.514827	4.33571	0.733371	-1.96399	0.0495315	0.196069
Player_wb5rbn	15	14	10.7144	3.05544	0.429135	4.26	0.650638	1.87964	0.0601576	0.196069
sena	15	10	9.39375	3.50333	0.402499	4.4	0.782255	0.323898	0.746015	0.846362
