component	mean	lo	hi
margin	5338.08	4724.59	5997.44
volume	4484.93	3969.53	4999.68
value	853.153	338.364	1416.78
vocabNet	4196.11	3740.85	4692.2
execNet	1141.97	885.019	1416.43
