affix	opps	taken	forgone	rate	oppOpps	oppTaken	oppRate	p	q	excessForgone
CHA-	81	24	87800	0.296296	67	20	0.298507	0.488315	0.778275	273.742
-ANE	60	0	87600	0	48	5	0.104167	0.0052342	0.0383436	9125
HAR-	61	6	87400	0.0983607	51	3	0.0588235	0.778317	1	-3803.47
STR-	81	27	87200	0.333333	67	16	0.238806	0.896306	1	-12042.8
LEA-	82	30	87200	0.365854	64	33	0.515625	0.0349175	0.154916	20069.4
NES-	62	4	86800	0.0645161	48	5	0.104167	0.225889	0.481703	3679.57
PR-	104	36	86400	0.346154	95	11	0.115789	0.999934	1	-28703.4
-OTS	73	16	86200	0.219178	69	22	0.318841	0.089998	0.276579	10863.2
-AHS	58	0	85600	0	41	0	0		1	0
-IDE	63	13	85600	0.206349	45	5	0.111111	0.904785	1	-9885.71
WI-	105	23	85600	0.219048	77	18	0.233766	0.407173	0.711804	1548.4
REN-	69	16	85400	0.231884	62	21	0.33871	0.0875461	0.27304	11686.7
DU-	90	14	84600	0.155556	65	8	0.123077	0.716254	0.951983	-3130.94
ROT-	79	22	84600	0.278481	47	14	0.297872	0.407875	0.711804	2268.79
END-	53	1	84000	0.0188679	42	3	0.0714286	0.1026	0.304895	4488.68
-RTS	97	38	83800	0.391753	62	34	0.548387	0.0264785	0.129318	21584.2
-IO	103	8	83600	0.0776699	78	12	0.153846	0.0527437	0.197789	6855.86
V-	222	84	83400	0.378378	171	57	0.333333	0.822	1	-6126.13
-TIC	55	0	83400	0	40	1	0.025	0.119234	0.336849	2085
MOR-	56	5	82600	0.0892857	35	3	0.0857143	0.523338	0.802197	-321.429
-SON	60	2	82000	0.0333333	54	0	0	0.912063	1	-2826.67
-LIE	65	10	81800	0.153846	49	12	0.244898	0.111323	0.321712	8722.76
-RI	89	2	81600	0.0224719	68	7	0.102941	0.0158092	0.0829983	6695.04
CEN-	49	1	80800	0.0204082	38	4	0.105263	0.0458316	0.184512	7009.02
-ADE	52	0	80400	0	44	7	0.159091	0.00140771	0.0140771	12790.9
-IOS	60	3	80200	0.05	43	5	0.116279	0.107606	0.31531	5593.95
-HI	92	4	80000	0.0434783	66	10	0.151515	0.00921679	0.0592733	8988.67
TEA-	82	34	80000	0.414634	73	37	0.506849	0.125034	0.351658	12135.5
-OUS	50	0	79600	0	47	0	0		1	0
-TOR	64	10	79600	0.15625	64	17	0.265625	0.0646885	0.220291	10237.5
-ND	161	71	79000	0.440994	137	46	0.335766	0.968121	1	-14395.1
DEN-	56	3	79000	0.0535714	51	8	0.156863	0.0394482	0.167921	8593.84
-DI	104	6	79000	0.0576923	88	13	0.147727	0.0186845	0.0972831	7544.93
SW-	125	45	78800	0.36	96	30	0.3125	0.770113	0.996245	-5709.5
BR-	162	90	78800	0.555556	109	36	0.330275	0.999867	1	-40956
PU-	92	18	78200	0.195652	77	14	0.181818	0.590414	0.861085	-1352.96
EO-	72	0	77800	0	65	2	0.0307692	0.0668847	0.225334	2393.85
ORA-	54	5	77800	0.0925926	37	8	0.216216	0.0489225	0.189087	10483.3
-ORE	51	2	77400	0.0392157	39	5	0.128205	0.0591406	0.209237	7208.14
GL-	86	13	77400	0.151163	74	14	0.189189	0.26098	0.524504	3498.43
FA-	97	27	77000	0.278351	102	32	0.313725	0.292479	0.562918	3714.37
-GI	115	19	76800	0.165217	79	12	0.151899	0.59822	0.8644	-1225.32
-ELY	52	0	76800	0	43	1	0.0232558	0.134468	0.362029	1786.05
-EAS	61	7	76400	0.114754	49	7	0.142857	0.33013	0.611711	2444.96
OL-	81	4	76400	0.0493827	70	3	0.0428571	0.575417	0.857003	-523.351
GAR-	53	5	76000	0.0943396	39	7	0.179487	0.115381	0.33041	7101.31
-IDS	54	3	75000	0.0555556	48	7	0.145833	0.0629591	0.215566	7150
TAS-	71	23	74800	0.323944	46	12	0.26087	0.766632	0.995831	-6875.08
POS-	54	7	74600	0.12963	36	3	0.0833333	0.753219	0.982459	-3944.44
REG-	50	4	74400	0.08	43	3	0.0697674	0.573968	0.856872	-818.605
VI-	76	5	74400	0.0657895	58	6	0.103448	0.215685	0.470046	2952.45
-RIE	50	1	74200	0.02	42	1	0.0238095	0.450338	0.752508	288
HAS-	59	13	74000	0.220339	38	13	0.342105	0.0931432	0.283191	11519.1
MET-	52	3	73800	0.0576923	35	1	0.0285714	0.737599	0.97012	-2271.43
-FS	112	26	73600	0.232143	78	11	0.141026	0.940647	1	-8601.47
-GOS	54	2	73600	0.037037	50	9	0.18	0.00892876	0.058595	10922.4
DER-	52	2	73600	0.0384615	38	4	0.105263	0.104769	0.309881	5103.64
-OLE	54	4	73200	0.0740741	56	4	0.0714286	0.521299	0.802197	-208.466
-ERO	62	14	73200	0.225806	66	11	0.166667	0.800514	1	-5488.17
RAN-	55	9	73200	0.163636	50	4	0.08	0.903121	1	-7209.45
-STS	122	73	73000	0.598361	90	36	0.4	0.997856	1	-35070.2
