word	opportunities	found	missed	rate
SMIT	187	186	1	0.9947
WELL	34	33	1	0.9706
GUL	52	51	1	0.9808
TANNER	30	29	1	0.9667
HYE	38	37	1	0.9737
SNOUT	22	21	1	0.9545
ARETT	100	99	1	0.99
BETA	23	22	1	0.9565
MOLT	68	67	1	0.9853
NOLE	88	87	1	0.9886
ROTA	82	81	1	0.9878
LOBE	30	29	1	0.9667
AMEND	60	59	1	0.9833
TAMPER	20	19	1	0.95
SPATE	31	30	1	0.9677
BEAL	44	43	1	0.9773
GEAL	42	41	1	0.9762
ROAR	53	52	1	0.9811
LOB	101	100	1	0.9901
STARE	576	575	1	0.9983
HECK	21	20	1	0.9524
TORA	100	99	1	0.99
TARP	42	41	1	0.9762
MAKE	25	24	1	0.96
MAK	60	59	1	0.9833
SCENT	23	22	1	0.9565
SPAE	84	83	1	0.9881
TIP	81	80	1	0.9877
SOP	36	35	1	0.9722
PAND	71	70	1	0.9859
FORT	129	128	1	0.9922
LEASER	22	21	1	0.9545
NETE	94	93	1	0.9894
CATER	112	111	1	0.9911
GONE	85	84	1	0.9882
RUN	528	527	1	0.9981
WAVE	28	27	1	0.9643
STATER	51	50	1	0.9804
STAIR	98	97	1	0.9898
HOND	36	35	1	0.9722
LIB	28	27	1	0.9643
MASH	68	67	1	0.9853
CRIT	25	24	1	0.96
RAISE	290	289	1	0.9966
SAW	86	85	1	0.9884
HERD	52	51	1	0.9808
CUM	33	32	1	0.9697
CASH	39	38	1	0.9744
RIOT	79	78	1	0.9873
BUD	28	27	1	0.9643
GAP	205	204	1	0.9951
PALET	45	44	1	0.9778
GAPER	26	25	1	0.9615
WIST	23	22	1	0.9565
DASH	54	53	1	0.9815
BRIN	80	79	1	0.9875
COATE	148	147	1	0.9932
GAY	39	38	1	0.9744
YAG	29	28	1	0.9655
HUE	62	61	1	0.9839
SMART	49	48	1	0.9796
BLAE	55	54	1	0.9818
PAIRE	81	80	1	0.9877
PAIR	199	198	1	0.995
HOIS	118	117	1	0.9915
FROS	32	31	1	0.9688
HOIST	43	42	1	0.9767
MAIRE	64	63	1	0.9844
GEAN	50	49	1	0.98
WHIT	43	42	1	0.9767
GRID	60	59	1	0.9833
GAD	116	115	1	0.9914
DANCE	34	33	1	0.9706
HEART	129	128	1	0.9922
WAI	555	554	1	0.9982
SIS	99	98	1	0.9899
HORS	245	244	1	0.9959
FRO	151	150	1	0.9934
HORSE	67	66	1	0.9851
STOLE	61	60	1	0.9836
STEND	45	44	1	0.9778
GORE	104	103	1	0.9904
PARD	32	31	1	0.9688
SPIER	29	28	1	0.9655
NEB	25	24	1	0.96
SHAPE	63	62	1	0.9841
BONER	29	28	1	0.9655
BOD	84	83	1	0.9881
HORN	84	83	1	0.9881
DATER	144	143	1	0.9931
SLOW	26	25	1	0.9615
GENE	33	32	1	0.9697
SIP	151	150	1	0.9934
DOP	267	266	1	0.9963
RENAIL	34	33	1	0.9706
RHONE	30	29	1	0.9667
BOS	49	48	1	0.9796
HATER	150	149	1	0.9933
MAY	42	41	1	0.9762
RATINE	39	38	1	0.9744
WORT	35	34	1	0.9714
TOOT	117	116	1	0.9915
SNAR	569	568	1	0.9982
MIC	114	113	1	0.9912
TOON	80	79	1	0.9875
MATER	120	119	1	0.9917
CADI	33	32	1	0.9697
LARGE	32	31	1	0.9688
COLL	51	50	1	0.9804
HARL	29	28	1	0.9655
TENDER	33	32	1	0.9697
AMENDE	21	20	1	0.9524
NUR	23	22	1	0.9565
DOLE	127	126	1	0.9921
SHOP	43	42	1	0.9767
