word	rank	track	len	pts	hook	hookClass	hookRank	hookOwned	myRate	fieldRate	topQRate	nTopQ	achievable	rateGap	presPerGame	nCur	expectedGain	expectedGainShrunk	belief	status	findability	findabilityScore	freeShare	pathCount	vowelInitial	pAppear_4x4_casual	pAppear_4x4_goodCasual	pAppear_4x4_spam	pAppear_5x5_casual	pAppear_5x5_goodCasual	pAppear_5x5_spam
WARED	811	par	5	800	WAR	additive	288	12	0.32653	0.34091	0.45946	37	0.45946	0.13293	0.017103	49	1.8188	1.5558	0.43926	learning	findable	0.71592	0.89796	1.2245	False	0.008388	0.01085	0.01568	0.014384	0.022508	0.028935
DETER	812	par	5	800	ETER	additive	64	13	0.19841	0.21945	0.25	100	0.25	0.051587	0.043979	126	1.815	1.748	0.27203	unknown	findable	0.4792	0	1.4683	False	0.023715	0.033408	0.070365	0.026113	0.043553	0.067378
ELINT	813	alpha	5	800	ELI	additive	236	24	0	0.013314	0.055556	108	0.055556	0.055556	0.040838	117	1.815	1.9127	0.0076741	unknown	findable	0.7748	0.69231	1.4103	True	0.024324	0.030729	0.049995	0.03712	0.054734	0.074874
EMOTE	814	par	5	800	EMOT	additive	314	5	0.15	0.15	0.3125	32	0.3125	0.1625	0.013962	40	1.815	1.6975	0.21025	unknown	findable	0.57319	0.775	1.1	True	0.011982	0.01311	0.015205	0.015463	0.019094	0.021493
DACE	815	par	4	400	ECA	cellmate	313	29	0.084906	0.16245	0.20732	82	0.20732	0.12241	0.036998	106	1.8116	1.7981	0.11821	unknown	findable	0.58759	0.64151	1.2642	False	0.022478	0.023317	0.02479	0.04111	0.045405	0.048432
WALE	816	par	4	400	WAL	additive	269	9	0.37805	0.50242	0.53623	69	0.53623	0.15818	0.028621	82	1.811	1.5974	0.50769	learning	findable	0.44018	0.2561	1.3049	False	0.015576	0.016506	0.01496	0.029479	0.032743	0.033038
HAIN	817	par	4	400	HAI	additive	762	1	0.21714	0.28446	0.29104	134	0.29104	0.073902	0.061082	175	1.8056	1.7339	0.29804	unknown	hard to see	0.26477	0.4	1.2343	False	0.040543	0.041763	0.043255	0.081523	0.095737	0.10866
TINA	818	alpha	4	400	NTI	cellmate	139	19	0.048223	0.058506	0.080997	321	0.080997	0.032774	0.13752	394	1.8028	1.8729	0.069954	unknown	findable	0.79773	0.71827	1.4137	False	0.090391	0.10999	0.17599	0.13098	0.17852	0.23671
SALSE	819	alpha	5	800	SALS	additive	302	3	0.012195	0.029297	0.090909	66	0.090909	0.078714	0.028621	82	1.8023	1.8808	0.024686	unknown	findable	0.694	0.71951	1.3049	False	0.018989	0.026167	0.04234	0.021046	0.030665	0.038606
TONE	820	par	4	400	TON	additive	6240	39	0.68047	0.68249	0.71864	295	0.71864	0.038171	0.11798	338	1.8013	1.4743	0.91303	known	findable	0.82604	0.77219	1.3964	False	0.091805	0.10524	0.13049	0.11789	0.14906	0.17659
