word	len	present	found	opportunity	pts	lc	beliefRaw	beliefWeighted	present_s7to10	found_s7to10	beliefWeighted_s7to10	present_train	found_train	beliefWeighted_train	present_test	found_test	beliefWeighted_test	present_q1	found_q1	beliefWeighted_q1	present_q4	found_q4	beliefWeighted_q4
HOUSELINGS	10	1	0	0.83809	3000	7	0.079392	0.14809										1	0	0.16515			
HOUSELLED	9	1	0	0.51697	2600	7	0.079392	0.17969															
HOUSELS	7	4	0	1.2551	1800	7	0.039528	0.12056										1	0	0.19899			
HOUSEMAID	9	1	0	0	2600	7	0.079392	0.27371															
HOUSEMAIDS	10	1	0	0	3000	7	0.079392	0.27371															
HOUSEMAN	8	1	0	0.28359	2200	7	0.079392	0.21267	1	0	0.27903	1	0	0.28717							1	0	0.27461
HOUSEMATE	9	1	0	0.28359	2600	7	0.079392	0.21267	1	0	0.27903	1	0	0.28717							1	0	0.27461
HOUSEMATES	10	1	0	0.28359	3000	7	0.079392	0.21267	1	0	0.27903	1	0	0.28717							1	0	0.27461
HOUSER	6	45	26	31.545	1400	6	0.559	0.80678	17	9	0.68395	13	8	0.79041	4	1	0.33886	10	7	0.89135	17	9	0.68396
HOUSERS	7	11	5	6.9571	1800	7	0.40357	0.66336	5	3	0.74914	5	3	0.74113				1	0	0.28257	5	3	0.74767
HOUSES	6	26	19	19.712	1400	6	0.68731	0.92941	11	7	0.75244	10	6	0.72263	1	1	0.68477	6	5	0.96927	11	7	0.75247
HOUSESAT	8	7	0	3.3418	2200	7	0.026315	0.062459	3	0	0.14297	2	0	0.16549	1	0	0.50083	2	0	0.19899	3	0	0.14086
HOUSESIT	8	6	0	2.6204	2200	7	0.029615	0.074945	2	0	0.2368	2	0	0.24658				3	0	0.12534	2	0	0.23313
HOUSEY	6	12	1	7.9517	1400	6	0.098274	0.14433	5	1	0.29738	4	1	0.35874	1	0	0.23582	2	0	0.14054	5	1	0.29702
HOUSIER	7	12	1	6.0701	1800	7	0.088458	0.18	4	1	0.52928	2	1	0.97187	2	0	0.28055	1	0	0.187	4	1	0.52691
HOUSIEST	8	7	0	3.2038	2200	7	0.026315	0.064515	3	0	0.1521	1	0	0.28717	2	0	0.30819	1	0	0.18178	3	0	0.14984
