runLength	player	opponent	strong	peer
1	102101	100052	12914	83268
2	79492	71952	9972	79288
3	38740	39517	6302	43876
4	24553	23800	4023	20568
5	14487	13706	2469	12206
6	9663	8889	1684	7759
7	6333	5453	1118	4858
8	4321	3779	781	3250
9	2988	2454	542	2057
10	6919	5366	1359	4310
