season	games	margin	lo	hi	winRate	open15_s	open15_p	words_s	words_p
1	181	-9933.15	-11301.8	-8705.36	0.116022	3.94586	4.33223	80.0552	91.7956
2	47	-6970.21	-10087.4	-4082.52	0.276596	3.96312	4.34184	87.2553	97.383
3	237	-4829.54	-5859.6	-3890.13	0.291139	3.96681	4.24838	94.4388	103.101
7	26	-5938.46	-9300.14	-2713	0.269231	3.90256	4.20513	90.6923	101.654
8	183	-1290.16	-2479.29	-172.586	0.437158	3.95738	4.24699	98.4262	103.568
9	3	-4533.33	-13200	5700	0.333333	4.08889	4.35556	84	96
10	53	-4200	-6538.39	-2135.84	0.320755	3.99371	4.25535	99.4151	107.774
