month	mean	lo	hi	n
2025-11	-0.273938	-0.304907	-0.245435	628
2025-12	-0.26892	-0.283579	-0.253113	2544
2026-01	-0.240811	-0.263927	-0.214937	888
2026-02	-0.210625	-0.226928	-0.193794	2011
2026-03	-0.275556	-0.418611	-0.123525	15
2026-05	-0.349708	-0.447471	-0.25147	57
2026-06	-0.237789	-0.280651	-0.196843	404
2026-07	-0.197942	-0.218697	-0.177816	1353
2026-08	-0.191453	-0.239078	-0.135434	234
2026-09	-0.210949	-0.235367	-0.183442	889
