affix	opps	taken	forgone	rate	oppOpps	oppTaken	oppRate	p	q	excessForgone
RON-	49	8	60200	0.163265	33	4	0.121212	0.701372	1	-3019.42
-ESI	43	0	60200	0	38	0	0		1	0
-RIA	40	0	60000	0	37	1	0.027027	0.147649	0.522024	1621.62
PIS-	46	5	59800	0.108696	40	7	0.175	0.188051	0.595141	4455.65
-NEL	44	2	59200	0.0454545	40	1	0.025	0.693054	1	-1284.55
PIN-	44	10	59200	0.227273	41	2	0.0487805	0.9909	1	-13422.6
-NEY	42	0	59200	0	35	1	0.0285714	0.135094	0.509619	1691.43
-NOS	42	4	59200	0.0952381	40	10	0.25	0.0313235	0.252079	10028.6
ARC-	41	5	58800	0.121951	31	1	0.0322581	0.913635	1	-5937.69
KE-	55	0	58400	0	40	2	0.05	0.0468643	0.311814	2920
-UT	94	24	58400	0.255319	75	21	0.28	0.359182	0.840745	1944.85
ITE-	35	1	58400	0.0285714	37	0	0	0.849757	1	-1720
-KED	121	80	58200	0.661157	107	67	0.626168	0.709152	1	-6025.07
-END	49	11	58000	0.22449	58	8	0.137931	0.878463	1	-6388.04
KI-	62	2	57800	0.0322581	52	5	0.0961538	0.0784747	0.398808	3795.41
LAR-	41	3	57600	0.0731707	39	3	0.0769231	0.474608	0.952733	234.897
-AND	43	3	57600	0.0697674	35	4	0.114286	0.246928	0.6842	2751.23
CHE-	39	3	57600	0.0769231	39	3	0.0769231	0.5	0.980278	0
SET-	36	2	57600	0.0555556	38	5	0.131579	0.132016	0.503071	4652.63
-AG	61	1	57000	0.0163934	42	1	0.0238095	0.394333	0.883849	428.649
TON-	49	13	56800	0.265306	44	2	0.0454545	0.997999	1	-16752.7
BED-	31	0	56600	0	30	1	0.0333333	0.15269	0.533152	1886.67
-DA	74	7	56600	0.0945946	60	9	0.15	0.162669	0.549753	3446.22
DIA-	35	2	56600	0.0571429	34	3	0.0882353	0.309222	0.785951	1846.89
OIL-	40	1	56600	0.025	34	2	0.0588235	0.231104	0.668778	1961.76
NOR-	38	0	56400	0	34	0	0		1	0
-AST	64	27	56200	0.421875	59	12	0.20339	0.995359	1	-20625
-ULA	39	0	56200	0	51	0	0		1	0
-ACT	39	1	56000	0.025641	42	3	0.0714286	0.170974	0.562152	2664.84
-EHS	39	0	55400	0	30	0	0		1	0
NU-	45	1	55200	0.0222222	33	1	0.030303	0.41174	0.901348	452.525
-ARI	45	6	55000	0.133333	36	0	0	0.988602	1	-8453.33
-HIE	52	13	55000	0.25	42	6	0.142857	0.900781	1	-7885.71
BAS-	44	10	54800	0.227273	41	12	0.292683	0.245725	0.6842	4578.71
SIR-	40	4	54800	0.1	48	2	0.0416667	0.860152	1	-3546.67
TOU-	48	13	54600	0.270833	36	11	0.305556	0.363692	0.844284	2638.89
GAS-	41	5	54400	0.121951	42	7	0.166667	0.281243	0.751487	2763.41
ADO-	43	5	54400	0.116279	44	6	0.136364	0.389039	0.874303	1249.26
-ETA	38	0	54400	0	40	1	0.025	0.163299	0.549753	1360
-TRA	38	0	54000	0	32	3	0.09375	0.0268498	0.236507	5062.5
-OUR	39	1	54000	0.025641	31	1	0.0322581	0.434446	0.911824	366.584
-RID	37	1	54000	0.027027	33	1	0.030303	0.467273	0.944607	181.491
EG-	62	2	54000	0.0322581	41	1	0.0243902	0.5919	1	-442.172
-ITY	35	0	53800	0	42	1	0.0238095	0.179085	0.582027	1280.95
MOI-	34	0	53600	0	37	4	0.108108	0.0242133	0.227336	5794.59
-SEY	40	2	53600	0.05	35	1	0.0285714	0.681699	1	-1208.57
TIE-	37	2	53400	0.0540541	32	5	0.15625	0.0804378	0.402189	5743.41
-UP	49	0	53200	0	45	0	0		1	0
-CTS	38	3	53000	0.0789474	31	5	0.16129	0.143957	0.51544	4742.95
-AW	51	5	53000	0.0980392	43	1	0.0232558	0.930249	1	-4262.65
OT-	68	10	53000	0.147059	77	12	0.155844	0.441504	0.916256	546.448
-HT	90	27	52800	0.3	71	8	0.112676	0.997889	1	-13936.9
US-	51	1	52800	0.0196078	40	0	0	0.813407	1	-1050.98
-TRY	35	0	52600	0	30	0	0		1	0
TOP-	33	5	52400	0.151515	31	2	0.0645161	0.867454	1	-5237.34
SNO-	51	16	52200	0.313725	42	14	0.333333	0.420231	0.908817	1509.8
GU-	53	1	52200	0.0188679	44	5	0.113636	0.0268695	0.236507	5079.59
-LAR	41	4	51800	0.097561	36	6	0.166667	0.184048	0.589092	3966.67
-THE	37	1	51600	0.027027	39	4	0.102564	0.0921457	0.430497	4003.47
-EER	36	0	51200	0	33	1	0.030303	0.146373	0.519685	1551.52
-EDS	35	0	51000	0	30	0	0		1	0
-OUT	36	3	50600	0.0833333	35	1	0.0285714	0.84147	1	-3022.86
-DOS	35	2	50600	0.0571429	30	1	0.0333333	0.675835	1	-1271.43
-GET	41	5	50400	0.121951	32	5	0.15625	0.336184	0.825843	1968.75
-RIC	33	0	50200	0	34	0	0		1	0
WR-	52	6	50200	0.115385	30	2	0.0666667	0.763047	1	-2737.95
LES-	42	9	49400	0.214286	42	9	0.214286	0.5	0.980278	0
-TLY	35	2	49400	0.0571429	37	3	0.0810811	0.344812	0.831185	1268.73
NEC-	31	0	49000	0	30	0	0		1	0
-IM	51	7	48800	0.137255	45	2	0.0444444	0.940245	1	-5234.51
SUR-	40	10	48800	0.25	30	2	0.0666667	0.977999	1	-11513.3
HAN-	40	10	48800	0.25	36	5	0.138889	0.887848	1	-7022.22
ASH-	34	0	48400	0	30	0	0		1	0
-DU	58	0	48200	0	47	1	0.0212766	0.132168	0.503071	1025.53
-EC	52	0	48200	0	40	0	0		1	0
-MY	67	10	48000	0.149254	63	17	0.269841	0.0451445	0.311078	6752.9
-OP	50	1	48000	0.02	41	0	0	0.818735	1	-976
SHI-	58	24	48000	0.413793	43	16	0.372093	0.664105	1	-3419.41
FLA-	34	2	48000	0.0588235	31	2	0.0645161	0.462003	0.942144	289.184
-AYS	37	3	48000	0.0810811	36	7	0.194444	0.0795111	0.399922	5917.57
RH-	54	0	47400	0	43	2	0.0465116	0.0546434	0.336308	2204.65
ROU-	49	22	47000	0.44898	39	12	0.307692	0.911843	1	-11557.3
FU-	47	2	46600	0.0425532	56	0	0	0.94049	1	-2076.6
-HIS	36	3	46600	0.0833333	40	3	0.075	0.553504	1	-423.333
-OC	54	0	46600	0	56	1	0.0178571	0.16195	0.549753	832.143
PAI-	45	14	46600	0.311111	32	9	0.28125	0.611084	1	-1976.81
-TT	72	17	46400	0.236111	54	17	0.314815	0.162327	0.549753	4722.22
COL-	48	18	46400	0.375	42	8	0.190476	0.972999	1	-14171.4
-LD	58	3	46200	0.0517241	68	6	0.0882353	0.21384	0.64797	1774.44
-ERE	33	2	46200	0.0606061	36	3	0.0833333	0.358022	0.840356	1113.64
PAT-	42	13	46200	0.309524	40	7	0.175	0.921892	1	-8932.38
REE-	39	10	46200	0.25641	35	16	0.457143	0.0354673	0.272163	13127.9
-DIT	36	4	45600	0.111111	36	3	0.0833333	0.65461	1	-1422.22
WAS-	36	7	45400	0.194444	34	4	0.117647	0.811219	1	-4300.65
MIT-	45	14	45000	0.311111	41	13	0.317073	0.476276	0.95368	385.149
-AES	32	0	44800	0	30	0	0		1	0
BEA-	44	15	44600	0.340909	40	17	0.425	0.213998	0.64797	5684.55
ROS-	44	15	44600	0.340909	46	8	0.173913	0.965288	1	-11422.5
COO-	33	4	44200	0.121212	31	3	0.0967742	0.622876	1	-1226.78
YO-	52	0	44000	0	38	1	0.0263158	0.119728	0.48679	1157.89
-SLE	34	3	43800	0.0882353	33	3	0.0909091	0.484716	0.962554	128.342
-ODE	33	3	43600	0.0909091	30	4	0.133333	0.29628	0.772706	2027.88
DAR-	40	14	43600	0.35	36	9	0.25	0.828312	1	-6560
-OMS	31	2	43400	0.0645161	32	1	0.03125	0.732324	1	-1550.2
-SEI	31	0	43400	0	32	1	0.03125	0.160561	0.549753	1356.25
MIN-	38	11	43400	0.289474	32	6	0.1875	0.839195	1	-6118.42
-REN	36	6	43200	0.166667	34	2	0.0588235	0.921817	1	-5564.71
-UTE	35	5	42800	0.142857	30	4	0.133333	0.544123	1	-474.286
-USE	30	1	42200	0.0333333	31	1	0.0322581	0.509405	0.987264	-46.8817
SPA-	43	15	42000	0.348837	39	11	0.282051	0.741847	1	-4314.37
-VES	47	18	41800	0.382979	45	17	0.377778	0.520482	0.999563	-354.704
-TTE	31	9	41200	0.290323	39	9	0.230769	0.714398	1	-3251.61
-BED	39	11	40800	0.282051	35	7	0.2	0.794281	1	-4644.1
-IG	51	0	40800	0	46	0	0		1	0
COA-	38	12	40400	0.315789	47	13	0.276596	0.653318	1	-2288.91
-SM	45	1	40000	0.0222222	53	1	0.0188679	0.546583	1	-138.868
-AP	56	10	39800	0.178571	48	6	0.125	0.774832	1	-2560.71
-KET	35	7	39200	0.2	37	4	0.108108	0.860645	1	-4502.7
LAS-	51	25	38800	0.490196	32	14	0.4375	0.680174	1	-4078.68
-BLE	37	11	38400	0.297297	33	8	0.242424	0.696847	1	-2996.07
-LL	52	21	38000	0.403846	53	15	0.283019	0.903907	1	-6838.82
-DIS	38	11	37800	0.289474	31	3	0.0967742	0.97614	1	-10251.6
CLO-	31	6	37800	0.193548	34	5	0.147059	0.691207	1	-2222.2
RIN-	35	10	37800	0.285714	37	12	0.324324	0.361118	0.842941	2030.89
