word	opportunities	found	missed	rate
INK	323	47	276	0.1455
ARDS	351	80	271	0.2279
YER	287	17	270	0.05923
NAS	398	128	270	0.3216
LETS	368	99	269	0.269
ALT	1328	1069	259	0.805
NIE	896	638	258	0.7121
OOM	264	6	258	0.02273
OKE	309	55	254	0.178
CHE	690	437	253	0.6333
NET	1110	858	252	0.773
ENDS	719	471	248	0.6551
OMA	302	62	240	0.2053
ERING	243	5	238	0.02058
ISH	259	21	238	0.08108
ELLS	260	23	237	0.08846
ASTERS	347	112	235	0.3228
NIS	349	114	235	0.3266
RAT	6238	6004	234	0.9625
ION	401	168	233	0.419
OPED	237	4	233	0.01688
AIR	3262	3030	232	0.9289
OAT	1526	1298	228	0.8506
ORD	379	156	223	0.4116
ICE	1967	1746	221	0.8876
EME	237	17	220	0.07173
TENS	636	416	220	0.6541
AKES	272	55	217	0.2022
AVER	322	106	216	0.3292
RATE	2488	2272	216	0.9132
OUR	807	593	214	0.7348
OTTER	276	64	212	0.2319
ICH	317	107	210	0.3375
INNER	226	18	208	0.07965
SING	1226	1019	207	0.8312
YES	251	45	206	0.1793
LATE	1921	1717	204	0.8938
OAR	921	719	202	0.7807
APED	236	35	201	0.1483
ALLS	291	92	199	0.3162
ILLER	217	20	197	0.09217
LIE	1798	1603	195	0.8915
REE	1697	1504	193	0.8863
USES	224	31	193	0.1384
OWER	252	60	192	0.2381
ETA	303	111	192	0.3663
ARET	642	451	191	0.7025
ESTER	526	337	189	0.6407
REES	317	130	187	0.4101
STING	536	349	187	0.6511
LIER	492	305	187	0.6199
SEL	735	552	183	0.751
OBS	184	1	183	0.005435
ICK	256	75	181	0.293
OIS	183	5	178	0.02732
OAST	366	188	178	0.5137
LAS	3345	3168	177	0.9471
APERS	207	30	177	0.1449
HET	570	393	177	0.6895
RATS	371	196	175	0.5283
EAST	1397	1222	175	0.8747
ANI	506	332	174	0.6561
ACH	767	593	174	0.7731
EALED	173	1	172	0.00578
OOPS	172	2	170	0.01163
URN	206	37	169	0.1796
OUS	630	462	168	0.7333
LAT	4484	4316	168	0.9625
RINE	909	742	167	0.8163
AID	1871	1705	166	0.9113
OYS	172	6	166	0.03488
SEN	2441	2275	166	0.932
DING	704	539	165	0.7656
AILED	370	205	165	0.5541
USER	220	56	164	0.2545
DEN	1682	1520	162	0.9037
UMS	166	4	162	0.0241
ULES	171	11	160	0.06433
UDS	159	0	159	0
SAT	1894	1736	158	0.9166
OWED	175	18	157	0.1029
RIT	2105	1951	154	0.9268
AVES	283	130	153	0.4594
TEAR	1417	1265	152	0.8927
HAT	2175	2024	151	0.9306
ELTS	193	43	150	0.2228
RIN	3350	3201	149	0.9555
NOS	1237	1089	148	0.8804
EALES	147	3	144	0.02041
HARE	630	487	143	0.773
TINGS	330	188	142	0.5697
ANTED	291	151	140	0.5189
AWED	146	7	139	0.04795
OIL	1323	1185	138	0.8957
ACE	2045	1907	138	0.9325
IRING	150	13	137	0.08667
BES	453	317	136	0.6998
EANED	146	10	136	0.06849
OATS	350	215	135	0.6143
RINS	535	401	134	0.7495
ITHER	135	1	134	0.007407
DIES	285	152	133	0.5333
CHER	195	64	131	0.3282
NETS	167	37	130	0.2216
SIT	2518	2389	129	0.9488
DIE	1388	1259	129	0.9071
ASP	198	70	128	0.3535
OBE	130	2	128	0.01538
TANE	262	135	127	0.5153
SIES	135	8	127	0.05926
TARED	206	80	126	0.3883
INNED	127	1	126	0.007874
TARN	315	189	126	0.6
USED	155	30	125	0.1935
LIT	2975	2851	124	0.9583
TATE	1144	1021	123	0.8925
OKES	142	19	123	0.1338
OSIER	123	1	122	0.00813
OOMS	122	0	122	0
TIRE	1167	1045	122	0.8955
HIT	566	445	121	0.7862
RAIN	1414	1294	120	0.9151
SETS	165	45	120	0.2727
TORE	774	654	120	0.845
TARS	212	92	120	0.434
ERA	324	205	119	0.6327
EMES	121	3	118	0.02479
OCH	152	34	118	0.2237
INTERS	252	136	116	0.5397
TINE	1074	958	116	0.892
UGS	119	5	114	0.04202
IONS	166	52	114	0.3133
UPS	114	0	114	0
ARETS	178	64	114	0.3596
AIRS	590	477	113	0.8085
EATER	666	554	112	0.8318
TIN	5047	4935	112	0.9778
LAR	2266	2154	112	0.9506
STEN	585	473	112	0.8085
ECH	187	76	111	0.4064
INKS	119	9	110	0.07563
INN	139	29	110	0.2086
ACES	583	474	109	0.813
LIS	935	827	108	0.8845
AGE	1445	1337	108	0.9253
HING	340	233	107	0.6853
RAN	2895	2789	106	0.9634
TINS	153	47	106	0.3072
OUT	1510	1404	106	0.9298
TEER	477	372	105	0.7799
EALE	110	6	104	0.05455
TIED	193	89	104	0.4611
OUP	122	19	103	0.1557
RATES	380	278	102	0.7316
EASE	1719	1618	101	0.9412
RONE	519	418	101	0.8054
EARD	142	41	101	0.2887
AKED	108	7	101	0.06481
ONIE	101	0	101	0
AVERS	117	17	100	0.1453
TERN	533	435	98	0.8161
ANA	222	124	98	0.5586
OPING	97	0	97	0
ABER	102	5	97	0.04902
TAIN	989	893	96	0.9029
ARIS	259	163	96	0.6293
ICES	407	311	96	0.7641
ARK	281	186	95	0.6619
TALE	1080	986	94	0.913
EARING	287	193	94	0.6725
LIED	144	52	92	0.3611
RINES	293	201	92	0.686
SIN	3400	3308	92	0.9729
TEAL	550	458	92	0.8327
ORDS	130	39	91	0.3
ACER	481	391	90	0.8129
ALTS	206	117	89	0.568
OTTERS	109	21	88	0.1927
TARES	246	158	88	0.6423
PING	441	354	87	0.8027
LATS	193	106	87	0.5492
KING	177	90	87	0.5085
ACED	261	174	87	0.6667
STIE	414	327	87	0.7899
MAS	1731	1644	87	0.9497
TEL	1003	916	87	0.9133
RINGS	230	144	86	0.6261
LATER	314	228	86	0.7261
TINA	120	34	86	0.2833
RAP	1152	1066	86	0.9253
PIER	284	198	86	0.6972
ANGER	223	137	86	0.6143
AGER	382	296	86	0.7749
NARE	266	180	86	0.6767
NEST	494	409	85	0.8279
INNERS	94	9	85	0.09574
ARSES	125	41	84	0.328
EEK	90	6	84	0.06667
AGES	366	282	84	0.7705
OUTS	409	326	83	0.7971
MEN	937	854	83	0.9114
TART	533	450	83	0.8443
LATED	186	103	83	0.5538
OMAS	89	7	82	0.07865
RAM	700	619	81	0.8843
OARS	212	131	81	0.6179
IFF	92	11	81	0.1196
APING	87	7	80	0.08046
ERM	111	31	80	0.2793
ASHED	211	132	79	0.6256
ENTER	283	204	79	0.7208
HIN	1411	1332	79	0.944
RAD	803	724	79	0.9016
OURS	255	177	78	0.6941
EPOS	78	0	78	0
SHET	114	36	78	0.3158
TOR	3922	3844	78	0.9801
EALING	78	0	78	0
HEN	825	747	78	0.9055
OBES	79	1	78	0.01266
HORE	179	102	77	0.5698
REED	270	194	76	0.7185
DOS	1155	1079	76	0.9342
ARLE	174	98	76	0.5632
OVER	228	152	76	0.6667
RITS	155	79	76	0.5097
NIT	2536	2461	75	0.9704
ADDER	97	22	75	0.2268
HOT	738	663	75	0.8984
ANCE	107	33	74	0.3084
APSE	76	2	74	0.02632
ALTER	384	310	74	0.8073
OLLIES	77	3	74	0.03896
LEST	228	155	73	0.6798
UTTER	94	21	73	0.2234
ESILE	73	0	73	0
TINES	207	134	73	0.6473
DENS	226	155	71	0.6858
HIS	472	401	71	0.8496
FER	323	252	71	0.7802
ARY	73	3	70	0.0411
OLLIE	75	5	70	0.06667
EROS	75	5	70	0.06667
OILS	362	292	70	0.8066
LOT	1349	1279	70	0.9481
OWSE	71	2	69	0.02817
ALA	325	256	69	0.7877
OLLER	71	2	69	0.02817
OMER	70	1	69	0.01429
ERNE	77	8	69	0.1039
REEN	179	110	69	0.6145
ODA	90	21	69	0.2333
REN	3324	3256	68	0.9795
TET	508	440	68	0.8661
OOSES	71	3	68	0.04225
TILE	1080	1013	67	0.938
KIER	71	4	67	0.05634
EFT	137	70	67	0.5109
RAI	5285	5218	67	0.9873
TATER	325	259	66	0.7969
INGLE	128	62	66	0.4844
STY	138	72	66	0.5217
AHS	75	10	65	0.1333
RADE	143	78	65	0.5455
MING	366	302	64	0.8251
LINGS	181	118	63	0.6519
HARES	143	80	63	0.5594
HAD	387	325	62	0.8398
RONES	175	113	62	0.6457
AMP	228	166	62	0.7281
URD	70	8	62	0.1143
RAINS	210	148	62	0.7048
OATER	226	165	61	0.7301
TAT	2021	1960	61	0.9698
ICKS	71	10	61	0.1408
AFF	107	47	60	0.4393
PIE	1128	1068	60	0.9468
MIS	1126	1066	60	0.9467
SITS	92	32	60	0.3478
NOT	1595	1536	59	0.963
LOS	1321	1262	59	0.9553
RIM	614	555	59	0.9039
FED	101	42	59	0.4158
ACKER	65	6	59	0.09231
UME	60	2	58	0.03333
URNS	70	12	58	0.1714
NOR	174	116	58	0.6667
GEN	584	526	58	0.9007
EARN	379	321	58	0.847
ANAS	80	23	57	0.2875
ASHES	248	191	57	0.7702
ALLY	81	25	56	0.3086
SERED	59	3	56	0.05085
EASER	392	336	56	0.8571
RIAL	108	52	56	0.4815
RETE	136	80	56	0.5882
ESTERS	144	88	56	0.6111
MET	821	766	55	0.933
TAINS	240	185	55	0.7708
TALER	277	222	55	0.8014
MINE	615	560	55	0.9106
ROT	2971	2916	55	0.9815
BED	151	96	55	0.6358
ERR	189	134	55	0.709
TONE	1619	1564	55	0.966
ONY	54	0	54	0
OWE	186	132	54	0.7097
TAI	2452	2398	54	0.978
KEN	140	86	54	0.6143
HOE	333	279	54	0.8378
HINS	94	41	53	0.4362
STIES	69	16	53	0.2319
ANIS	136	83	53	0.6103
GOS	134	81	53	0.6045
OCA	61	8	53	0.1311
NIED	67	15	52	0.2239
LARS	70	18	52	0.2571
IMP	61	9	52	0.1475
HARED	82	30	52	0.3659
OLD	387	335	52	0.8656
SINS	81	29	52	0.358
ICHES	61	9	52	0.1475
TEEN	279	227	52	0.8136
WING	237	185	52	0.7806
OHS	52	1	51	0.01923
ANN	105	54	51	0.5143
HITS	94	44	50	0.4681
SITE	674	624	50	0.9258
HAN	1043	993	50	0.9521
ALAS	77	27	50	0.3506
KET	99	50	49	0.5051
DIS	254	205	49	0.8071
RAIT	528	479	49	0.9072
HETS	68	19	49	0.2794
ELD	240	191	49	0.7958
AIDS	285	236	49	0.8281
SHIER	81	32	49	0.3951
LANT	261	213	48	0.8161
BLET	59	11	48	0.1864
GLED	49	1	48	0.02041
ARSED	64	16	48	0.25
PARE	635	587	48	0.9244
GIE	213	165	48	0.7746
TEA	6157	6109	48	0.9922
OARED	99	51	48	0.5152
NEE	233	186	47	0.7983
STAR	2450	2403	47	0.9808
ACHES	132	85	47	0.6439
ACHE	255	209	46	0.8196
ORAL	158	112	46	0.7089
OYER	49	3	46	0.06122
FES	309	263	46	0.8511
NUS	56	10	46	0.1786
ARB	71	25	46	0.3521
ARLES	59	13	46	0.2203
EMO	84	38	46	0.4524
HEAR	1057	1011	46	0.9565
AWN	247	201	46	0.8138
RISE	560	514	46	0.9179
HALE	396	351	45	0.8864
ANGERS	86	41	45	0.4767
UMP	70	25	45	0.3571
GIS	146	101	45	0.6918
TAN	1830	1785	45	0.9754
OUPS	52	7	45	0.1346
LITS	119	74	45	0.6218
PEN	832	787	45	0.9459
TORS	511	466	45	0.9119
RAMS	103	58	45	0.5631
BLED	49	4	45	0.08163
ODDER	45	0	45	0
GAS	462	418	44	0.9048
IOS	44	0	44	0
AWING	51	7	44	0.1373
AMA	142	98	44	0.6901
CAT	2018	1974	44	0.9782
OUD	51	7	44	0.1373
TENT	511	467	44	0.9139
ILLY	47	4	43	0.08511
TAE	417	374	43	0.8969
LID	237	194	43	0.8186
TARNS	71	28	43	0.3944
TON	2992	2949	43	0.9856
ENG	55	12	43	0.2182
USERS	49	6	43	0.1224
ITCH	132	90	42	0.6818
TATES	141	99	42	0.7021
INKER	50	8	42	0.16
AKING	42	0	42	0
HAS	1089	1047	42	0.9614
LINE	1338	1296	42	0.9686
RAPS	96	54	42	0.5625
ARTI	232	190	42	0.819
ALLIES	131	89	42	0.6794
POT	848	806	42	0.9505
SKER	50	9	41	0.18
TIRES	173	132	41	0.763
ACERS	154	113	41	0.7338
VERT	62	21	41	0.3387
ETTLE	43	2	41	0.04651
ERNED	44	3	41	0.06818
HATS	71	30	41	0.4225
VET	97	56	41	0.5773
ITA	44	3	41	0.06818
POS	1371	1330	41	0.9701
RIG	173	132	41	0.763
AUNT	152	111	41	0.7303
LEE	1133	1092	41	0.9638
EWER	63	22	41	0.3492
RITE	535	495	40	0.9252
HADE	113	73	40	0.646
ICER	274	234	40	0.854
SHEN	90	50	40	0.5556
LOTS	97	58	39	0.5979
UTTERS	42	3	39	0.07143
ESTATE	57	18	39	0.3158
RATER	264	225	39	0.8523
PIES	87	48	39	0.5517
ENDER	352	313	39	0.8892
RIDE	520	481	39	0.925
RANT	573	534	39	0.9319
LARE	511	473	38	0.9256
SALE	434	396	38	0.9124
ROTS	61	23	38	0.377
ICED	126	88	38	0.6984
MAN	1851	1813	38	0.9795
TASTE	381	343	38	0.9003
SAI	2714	2676	38	0.986
EGO	42	4	38	0.09524
ERNES	38	0	38	0
ISHES	43	5	38	0.1163
SEA	5949	5911	38	0.9936
ARM	393	355	38	0.9033
EANING	43	5	38	0.1163
STINGS	69	31	38	0.4493
TINAS	39	1	38	0.02564
ACT	370	332	38	0.8973
HOS	1167	1129	38	0.9674
ABERS	38	0	38	0
ICKER	64	27	37	0.4219
AMI	638	601	37	0.942
PAR	2748	2711	37	0.9865
LANE	386	349	37	0.9041
