word	len	pts	n	kP	nO	kO	fieldRate	myRate	nCur	kCur	myRateCur	nStrong	strongRate	nTopQ	topQRate	dead	everAccepted	share_freeCur	share_dropTerminalCur	share_cellmateCur	share_noneCur	share_freeAll	share_dropTerminalAll	share_cellmateAll	share_noneAll	observedHost	hookStem	cellmateOf	qCur	gainPerGameCur	qAll	gainPerGameAll	reachClass	family
SARAN	5	800	248	7	248	2	0.0181452	0.0282258	77	3	0.038961	49	0	62	0	False	True	0.896104	0	0	0.103896	0.858871	0	0.0120968	0.129032	SAR	RAN		0.661395	13.3829	0.634411	13.3127	free	RAN
HALEST	6	1400	137	3	137	6	0.0328467	0.0218978	43	0	0	27	0.111111	36	0.0555556	False	True	0.860465	0	0	0.139535	0.79562	0	0.00729927	0.19708	HALES			0.636896	13.3826	0.589984	12.061	free	HALES
RETARD	6	1400	142	0	142	17	0.0598592	0	42	0	0	30	0.166667	40	0.15	False	True	0.880952	0	0.0238095	0.0952381	0.866197	0	0.0140845	0.119718	RET	RET		0.651634	13.3738	0.640996	14.1056	free	RET
RATLIN	6	1400	124	0	124	4	0.016129	0	41	0	0	19	0.0526316	38	0.0526316	False	True	0.902439	0	0	0.097561	0.830645	0	0	0.169355	RAT	RAT		0.667247	13.3682	0.615334	11.8244	free	RAT
LINOS	5	800	227	3	227	6	0.0198238	0.0132159	86	1	0.0116279	37	0.0540541	57	0.0175439	False	True	0.767442	0	0.0465116	0.186047	0.77533	0	0.0220264	0.202643	LIN	LIN		0.568163	13.3646	0.573818	11.2691	free	LIN
SLIER	5	800	392	15	392	22	0.0471939	0.0382653	129	3	0.0232558	75	0.0666667	103	0.0485437	False	True	0.527132	0	0.0775194	0.395349	0.492347	0	0.127551	0.380102	LIER			0.393869	13.3498	0.368769	11.4729	free	LIER
AERATE	6	1400	223	1	223	4	0.0112108	0.0044843	57	1	0.0175439	39	0.0512821	48	0.0208333	False	True	0.666667	0	0	0.333333	0.744395	0	0	0.255605	RATE	RATE		0.496763	13.3479	0.552967	18.9547	free	RATE
SILANE	6	1400	193	4	193	5	0.0233161	0.0207254	75	2	0.0266667	35	0.0571429	51	0.0196078	False	True	0.52	0	0.0933333	0.386667	0.512953	0	0.103627	0.38342	LANE		ALINES	0.390411	13.3309	0.385282	10.9036	free	LANE
REATA	5	800	407	2	407	7	0.0110565	0.004914	114	0	0	70	0.0285714	92	0.0108696	False	True	0.561404	0	0	0.438596	0.574939	0	0	0.425061	EAT	EAT		0.418518	13.3224	0.428339	15.2609	free	EAT
ENSEAR	6	1400	197	2	197	0	0.00507614	0.0101523	52	1	0.0192308	38	0	44	0	False	True	0.730769	0	0	0.269231	0.771574	0	0	0.228426	SEAR	SEA		0.543115	13.312	0.57262	17.1716	free	SEA
SONSE	5	800	269	0	269	8	0.0148699	0	99	0	0	46	0	68	0.0441176	False	True	0.646465	0	0.0505051	0.30303	0.650558	0	0.0594796	0.289963	SON	SON		0.480386	13.2798	0.483382	11.5147	free	SON
IRONE	5	800	400	3	400	42	0.05625	0.0075	140	2	0.0142857	69	0.173913	121	0.190083	False	True	0.471429	0	0	0.528571	0.44	0	0	0.56	RONE			0.353227	13.25	0.33042	11.4384	free	RONE
PARENS	6	1400	136	11	136	11	0.0808824	0.0808824	47	4	0.0851064	29	0.137931	33	0.121212	False	True	0.893617	0	0	0.106383	0.941176	0	0	0.0588235	PARE	PARE		0.660868	13.2234	0.695257	12.9485	free	PARE
SLART	5	800	337	10	337	13	0.0341246	0.0296736	97	1	0.0103093	63	0.047619	85	0.0235294	False	True	0.670103	0	0	0.329897	0.649852	0	0	0.350148	LAR	LAR		0.497396	13.193	0.4827	13.5196	free	LAR
LAREE	5	800	234	1	234	26	0.0576923	0.0042735	70	0	0	41	0.219512	44	0.181818	False	True	0.914286	0	0.0142857	0.0714286	0.876068	0	0.00854701	0.115385	LARE	LARE	LEARE	0.674629	13.1865	0.64688	13.3159	free	LARE
DINOS	5	800	236	14	236	19	0.0699153	0.059322	96	9	0.09375	34	0.0882353	62	0.0806452	False	True	0.791667	0	0	0.208333	0.758475	0	0	0.241525	DIN	DIN		0.585609	13.1849	0.561523	10.4954	free	DIN
DEAIR	5	800	321	0	321	11	0.017134	0	115	0	0	45	0.0444444	88	0.0454545	False	True	0.547826	0	0.121739	0.330435	0.551402	0	0.0778816	0.370717	AIR	AIR		0.409012	13.1341	0.411482	11.6968	free	AIR
URINES	6	1400	116	3	116	4	0.0301724	0.0258621	46	2	0.0434783	17	0	37	0.0810811	False	True	0.847826	0	0	0.152174	0.775862	0.00862069	0	0.215517	RINES	RINES		0.627757	13.1335	0.577378	9.91434	free	RINES
ELANET	6	1400	157	0	157	0	0	0	56	0	0	31	0	44	0	False	False	0.642857	0	0	0.357143	0.598726	0	0	0.401274	LANE			0.479547	13.1227	0.447636	10.8911	free	LANE
SERER	5	800	338	7	338	10	0.0251479	0.0207101	101	0	0	67	0.0447761	95	0.0315789	False	True	0.623762	0	0	0.376238	0.538462	0	0	0.461538	SERE			0.463769	13.0794	0.40187	11.4086	free	SERE
SERANG	6	1400	158	0	158	1	0.00316456	0	47	0	0	34	0.0294118	35	0.0285714	False	True	0.765957	0	0.0851064	0.148936	0.791139	0	0.0316456	0.177215	RANG	RANG	RANGES	0.568286	13.0517	0.586666	14.3647	free	RANG
ROTANS	6	1400	161	16	161	7	0.0714286	0.0993789	51	3	0.0588235	24	0.0833333	47	0.0638298	False	True	0.784314	0	0.0196078	0.196078	0.819876	0	0.00621118	0.173913	ROT	ROT		0.581769	13.0326	0.607527	12.6784	free	ROT
RANEE	5	800	257	0	257	4	0.0077821	0	75	0	0	36	0	63	0	False	True	0.84	0	0	0.16	0.785992	0	0	0.214008	RAN	RAN		0.620683	12.9986	0.581492	13.2339	free	RAN
SENSI	5	800	424	11	424	4	0.0176887	0.0259434	147	6	0.0408163	76	0.0131579	103	0.0194175	False	True	0.47619	0	0.258503	0.265306	0.507075	0	0.259434	0.233491	SEN		SINES	0.357418	12.9956	0.379833	13.2875	free	SEN
SALINA	6	1400	93	1	93	2	0.016129	0.0107527	38	0	0	7	0.142857	23	0.0434783	False	True	0.947368	0	0	0.0526316	0.924731	0	0	0.0752688	SAL	SAL		0.699735	12.9933	0.683366	9.69385	free	SAL
