word	len	present	found	opp	pts	lc	beliefRaw	beliefWeighted	refN	refK	refRate	p	q	refForgone	foundStem	kind	reference
SETONS	6	54	0	32.11	1400	6	0.0105462	0.0147807	15	3	0.2	5.84601e-06	0.00123497	15120	TONS	branch miss	topQuartile
COMATE	6	21	0	10.6598	1400	6	0.0248213	0.040393	6	3	0.5	4.76837e-07	0.000172683	14700	COMA	branch miss	topQuartile
ETATS	5	131	0	94.0212	800	5	0.00559841	0.00602026	36	5	0.138889	3.10996e-09	3.28489e-06	14555.6	TATS	branch miss	topQuartile
STRAE	5	244	0	170.751	800	5	0.00304386	0.00334564	54	4	0.0740741	6.99204e-09	6.33029e-06	14459.3		true gap	topQuartile
NONETS	6	34	0	22.3317	1400	6	0.0161889	0.0207901	10	3	0.3	5.4117e-06	0.00118264	14280	NONE	branch miss	topQuartile
TEEND	5	65	0	45.6203	800	5	0.0109811	0.0121445	22	6	0.272727	1.02406e-09	1.29799e-06	14181.8	TEEN	branch miss	topQuartile
TEINDS	6	57	0	34.4393	1400	6	0.0100222	0.0138285	17	3	0.176471	1.5621e-05	0.00247496	14082.4	TEIN	branch miss	topQuartile
TORICS	6	25	0	11.0899	1400	6	0.0213229	0.0390366	5	2	0.4	2.84303e-06	0.000706576	14000	TORI	branch miss	topQuartile
RELAND	6	33	0	22.9729	1400	6	0.0166339	0.0202502	10	3	0.3	7.73099e-06	0.00150754	13860	ELAN	branch miss	topQuartile
SILENT	6	59	0	29.2344	1400	6	0.0097009	0.0161538	18	3	0.166667	2.12964e-05	0.00310267	13766.7	SILE	branch miss	topQuartile
CADRES	6	34	0	20.0505	1400	6	0.0161889	0.0229686	7	2	0.285714	1.07559e-05	0.00197581	13600	CAD	branch miss	topQuartile
OCHERS	6	24	0	15.9197	1400	6	0.0221016	0.0283477	5	2	0.4	4.73838e-06	0.00107248	13440	CHER	branch miss	topQuartile
RESIST	6	51	0	33.03	1400	6	0.011128	0.0143894	16	3	0.1875	2.51763e-05	0.0035067	13387.5	SIST	branch miss	topQuartile
EROSES	6	43	0	26.4803	1400	6	0.0130475	0.0177315	9	2	0.222222	2.02669e-05	0.00302216	13377.8	ROSES	branch miss	topQuartile
RECOAT	6	35	0	19.606	1400	6	0.0157671	0.0234474	11	3	0.272727	1.44346e-05	0.00231594	13363.6	COAT	branch miss	topQuartile
INNERS	6	35	0	25.3229	1400	6	0.0157671	0.0184905	11	3	0.272727	1.44346e-05	0.00231594	13363.6	INNER	branch miss	topQuartile
HALSER	6	38	0	23.691	1400	6	0.014624	0.0196779	8	2	0.25	1.78784e-05	0.00276352	13300	ALS	branch miss	topQuartile
IDENTS	6	57	0	33.7758	1400	6	0.0100222	0.014087	6	1	0.166667	3.06668e-05	0.00392628	13300	DENTS	branch miss	topQuartile
ORANTS	6	57	0	33.1736	1400	6	0.0100222	0.0143302	12	2	0.166667	3.06668e-05	0.00392628	13300	RANTS	branch miss	topQuartile
METRO	5	74	0	51.824	800	5	0.00970828	0.0107437	18	4	0.222222	8.38126e-09	7.08216e-06	13155.6	MET	branch miss	topQuartile
TESLA	5	167	0	121.482	800	5	0.00441735	0.00468098	41	4	0.097561	3.58743e-08	2.3932e-05	13034.1	TES	branch miss	topQuartile
DRAPET	6	15	0	10.1805	1400	6	0.032924	0.0420201	5	3	0.6	1.07374e-06	0.000316504	12600	DRAPE	branch miss	topQuartile
TEIND	5	133	0	92.2306	800	5	0.00551647	0.00613471	34	4	0.117647	5.89428e-08	3.11292e-05	12517.6	TEIN	branch miss	topQuartile
TRIONES	7	31	0	12.9765	1800	7	0.0152159	0.0363443	9	2	0.222222	0.000413544	0.0338172	12400	TRIO	branch miss	topQuartile
OCTANE	6	31	0	15.5594	1400	6	0.0176016	0.0289388	7	2	0.285714	2.95142e-05	0.00392628	12400	TANE	branch miss	topQuartile
REEDITS	7	16	0	6.89681	1800	7	0.0269456	0.0623189	7	3	0.428571	0.000129238	0.0131048	12342.9	EDITS	branch miss	topQuartile
DARNEL	6	22	0	11.793	1400	6	0.0238433	0.0370054	5	2	0.4	1.31622e-05	0.00226828	12320	DARN	branch miss	topQuartile
DEAIR	5	115	0	80.1928	800	5	0.0063534	0.00703364	30	4	0.133333	7.12838e-08	3.61409e-05	12266.7	AIR	branch miss	topQuartile
AREAD	5	92	0	65.4293	800	5	0.00788122	0.00857458	24	4	0.166667	5.19189e-08	2.99124e-05	12266.7	AREA	branch miss	topQuartile
SERON	5	229	0	165.032	800	5	0.00324012	0.00346022	60	4	0.0666667	1.37538e-07	6.45663e-05	12213.3	SER	branch miss	topQuartile
TENDRE	6	39	0	27.3282	1400	6	0.014279	0.0172139	9	2	0.222222	5.53816e-05	0.00662228	12133.3	TEND	branch miss	topQuartile
RHINES	6	46	0	30.0378	1400	6	0.0122548	0.0157452	16	3	0.1875	7.11009e-05	0.00811895	12075	HIN	branch miss	topQuartile
ERODES	6	43	0	27.7229	1400	6	0.0130475	0.0169832	10	2	0.2	6.80565e-05	0.00791391	12040	RODES	branch miss	topQuartile
PROINS	6	20	0	10.0802	1400	6	0.0258829	0.0423771	7	3	0.428571	1.37797e-05	0.00226828	12000	ROINS	branch miss	topQuartile
TEENDS	6	20	0	13.3231	1400	6	0.0258829	0.0332412	7	3	0.428571	1.37797e-05	0.00226828	12000	TEEN	branch miss	topQuartile
LORATE	6	51	0	32.8308	1400	6	0.011128	0.0144723	12	2	0.166667	9.15707e-05	0.0100927	11900	ORATE	branch miss	topQuartile
ORANGS	6	21	0	11.8824	1400	6	0.0248213	0.0367621	5	2	0.4	2.1937e-05	0.00315967	11760	RANGS	branch miss	topQuartile
SERIAL	6	84	0	49.5085	1400	6	0.00692541	0.0097607	20	2	0.1	0.000143341	0.0141941	11760	RIAL	branch miss	topQuartile
