affix	opps	taken	forgone	rate	oppOpps	oppTaken	oppRate	p	q	excessForgone
-II	42	0	34600	0	36	2	0.055556	0.060872	0.34521	1922.2
-BO	45	4	34600	0.088889	34	4	0.11765	0.33742	0.82644	1087.1
-RL	47	4	34400	0.085106	48	8	0.16667	0.11577	0.48679	3066.7
-PA	40	1	34200	0.025	38	0	0	0.8367	1	-890
-OE	46	8	34000	0.17391	44	6	0.13636	0.6884	1	-1539.5
-LT	54	13	32800	0.24074	49	10	0.20408	0.67226	1	-1583.7
-GY	53	12	32800	0.22642	56	9	0.16071	0.80766	1	-2864.6
-IRS	33	11	32400	0.33333	36	10	0.27778	0.69181	1	-2655.6
-OI	38	0	31600	0	32	0	0		1	0
-BA	39	1	30400	0.025641	32	1	0.03125	0.44349	0.91626	175
-EP	40	2	30400	0.05	36	4	0.11111	0.16195	0.54975	1955.6
-CO	37	0	30200	0	41	0	0		1	0
-NGS	45	26	29800	0.57778	48	23	0.47917	0.82941	1	-7435.3
YA-	37	0	29600	0	39	5	0.12821	0.012118	0.15515	3794.9
-IF	34	0	29400	0	45	2	0.044444	0.10654	0.46646	1306.7
-GN	30	1	29200	0.033333	40	10	0.25	0.0068515	0.11034	6500
IC-	30	3	27600	0.1	33	5	0.15152	0.26983	0.7331	1576.4
-BE	39	7	26800	0.17949	35	8	0.22857	0.3	0.77762	1590.3
-PE	63	31	26800	0.49206	60	30	0.5	0.46494	0.94214	423.81
-PY	39	10	24400	0.25641	30	4	0.13333	0.89621	1	-3987.7
-V	45	1	23200	0.022222	43	5	0.11628	0.040076	0.29193	2219.7
-PT	32	4	22400	0.125	37	3	0.081081	0.7266	1	-1124.3
OI-	33	15	22200	0.45455	34	13	0.38235	0.72541	1	-2815.5
-KE	40	16	21000	0.4	37	9	0.24324	0.9289	1	-5455.1
-CK	37	17	17200	0.45946	40	14	0.35	0.83609	1	-3371.4
