word	len	trials	finds	vowelInitial	removedByFlux	commonEnglish	comparable	compP10	compMedian	pZeroAtP10	pZeroAtMedian	compP10SameInitial	compMedianSameInitial	pZeroAtP10SameInitial	pZeroAtMedianSameInitial	qAtMedian	qAtMedianSameInitial	qAtP10SameInitial
RANSEL	6	286	0	False	False	True	711	0.00813	0.1161	0.09684	4.735e-16	0.01163	0.1453	0.03524	3.13e-20	3.263e-15	5.456e-19	0.4083
RASURE	6	112	0	False	False	True	1584	0.01163	0.1083	0.2698	2.647e-06	0.0122	0.1364	0.253	7.397e-08	3.328e-06	1.822e-07	0.4083
RATHEST	7	102	0	False	False	True	634	0.0125	0.1111	0.2772	6.06e-06	0.01341	0.1392	0.2524	2.288e-07	6.838e-06	4.866e-07	0.4083
REALIA	6	250	0	False	False	False	840	0.007457	0.1166	0.1539	3.468e-14	0.01087	0.1422	0.06507	2.194e-17	1.915e-13	2.636e-16	0.4083
REIRD	5	374	0	False	False	False	1157	0.007764	0.1399	0.05419	3.379e-25	0.01268	0.1799	0.008445	6.094e-33	4.769e-24	2.462e-31	0.1982
REIRDS	6	132	0	False	False	False	1445	0.01042	0.1136	0.251	1.216e-07	0.01346	0.1424	0.1672	1.558e-09	2.127e-07	5.389e-09	0.4083
REISHI	6	112	0	False	False	False	1584	0.01163	0.1083	0.2698	2.647e-06	0.0122	0.1364	0.253	7.397e-08	3.328e-06	1.822e-07	0.4083
REITERS	7	142	0	False	False	False	387	0.009434	0.1034	0.2603	1.844e-07	0.01515	0.1306	0.1144	2.35e-09	3.122e-07	7.943e-09	0.4083
REORG	5	150	0	False	False	False	1550	0.009434	0.1061	0.2413	4.939e-08	0.0137	0.125	0.1263	2.001e-09	9.78e-08	6.841e-09	0.4083
RETAMA	6	144	0	False	False	True	1360	0.009804	0.114	0.242	2.679e-08	0.01299	0.1455	0.1522	1.479e-10	5.552e-08	6.29e-10	0.4083
RETUND	6	106	0	False	False	False	1597	0.0119	0.1087	0.281	5.044e-06	0.01269	0.1354	0.2582	2.002e-07	5.838e-06	4.348e-07	0.4083
RETUSE	6	170	0	False	False	True	1220	0.009434	0.1191	0.1996	4.37e-10	0.0129	0.1527	0.1099	5.85e-13	1.282e-09	3.769e-12	0.4083
REWTH	5	110	0	False	False	False	1618	0.0119	0.09658	0.2678	1.405e-05	0.01282	0.1071	0.2419	3.855e-06	1.494e-05	6.882e-06	0.4083
RHETOR	6	136	0	False	False	True	1448	0.01042	0.1143	0.2407	6.767e-08	0.01333	0.1455	0.1611	5.2e-10	1.294e-07	1.959e-09	0.4083
