word	len	pts	n	nCur	fieldRate	myRate	myRateCur	strongRate	topQRate	reachClass	share_freeCur	share_dropTerminalCur	share_cellmateCur	hookStem	cellmateOf	observedHost	family	qCur	gainPerGameCur	gainPerGameAll	dead	everAccepted
LIEUS	5	800	99	42	0.0050505	0	0	0	0.047619	free	0.66667	0	0			LIE	LIE	0.4949	5.8041	3.8889	False	True
ESCHAR	6	1400	58	21	0	0	0	0	0	free	0.7619	0	0.047619	CHA		CHAR	CHA	0.56548	5.8028	4.4999	False	False
REALTIE	7	1800	59	17	0.033898	0.067797	0	0	0	free	0.76471	0	0	TIE		REAL	TIE	0.54298	5.7994	5.709	False	True
TAPIS	5	800	125	40	0.016	0.024	0	0.041667	0	free	0.7	0	0	TAP		TAP	TAP	0.51909	5.7979	5.7695	False	True
CANID	5	800	129	40	0.015504	0.0077519	0	0	0	free	0.7	0	0	CAN		CAN	CAN	0.51909	5.7979	6.5289	False	True
SEARCE	6	1400	95	20	0	0	0	0	0	free	0.8	0	0	SEA		SEAR	SEA	0.59317	5.7972	8.9569	False	False
TENONS	6	1400	77	20	0.038961	0	0	0	0.12	free	0.8	0	0.05		SONNET,TONNES	TEN	TEN	0.59301	5.7956	6.6723	False	True
REARISE	7	1800	81	16	0.0061728	0	0	0	0	free	0.8125	0	0			REAR	REAR	0.5764	5.7942	9.0468	False	True
TIGON	5	800	95	38	0	0	0	0	0	free	0.73684	0	0	GON		GON	GON	0.54583	5.7917	4.0138	True	False
OARIEST	7	1800	119	40	0.05042	0.058824	0.075	0.11765	0.16667	free	0.425	0	0			OAR	OAR	0.30543	5.7909	6.3227	False	True
AREOLE	6	1400	79	19	0	0	0	0	0	free	0.84211	0	0			ARE	ARE	0.62362	5.79	3.8779	True	False
SPINAE	6	1400	56	19	0.044643	0.017857	0	0	0.047619	free	0.84211	0	0	PIN		PIN	PIN	0.62362	5.79	5.2393	False	True
LITHO	5	800	89	37	0.039548	0.011236	0	0.083333	0.09375	free	0.75676	0	0	LIT		LIT	LIT	0.56028	5.7885	4.1118	False	True
BESTAR	6	1400	74	19	0.033784	0.054054	0	0	0	free	0.84211	0	0.052632	STAR	BASTER	BEST	STAR	0.62345	5.7884	6.3832	False	True
