index	decile	pos	block
subject	[3.919, 4.088, 4.156, 4.198, 4.265, 4.327, 4.322, 4.325, 4.332, 4.397]	[3.737, 3.636, 3.968, 3.867, 3.915, 3.979, 3.993, 3.942, 4.055, 3.979, 3.984, 4.081, 4.044, 4.062, 4.145, 4.11, 4.064, 4.136, 4.164, 4.105, 4.179, 4.071, 4.097, 4.2, 4.137]	decile
peer	[4.267, 4.316, 4.268, 4.299, 4.294, 4.252, 4.233, 4.212, 4.183, 4.165]	[4.125, 3.785, 4.303, 4.415, 4.297, 4.304, 4.341, 4.321, 4.293, 4.322, 4.358, 4.282, 4.338, 4.319, 4.311, 4.293, 4.315, 4.33, 4.297, 4.241, 4.263, 4.271, 4.258, 4.273, 4.304]	decile
