oppName	games	wins	exp	var	overlap	oppOpen10	oppLongShare	z	p	q
emolyt	18	14	12.4238	3.72471	0.39675	3.97222	0.66142	0.816686	0.414108	0.731654
Player_ivoo4e	18	8	11.4389	3.8369	0.452196	3.94444	0.635765	-1.75564	0.0791507	0.305994
DSTAMPEDE	18	15	10.8136	4.25743	0.49163	3.9	0.631896	2.02891	0.042468	0.218251
junothan	17	13	12.7758	3.1396	0.469904	3.87059	0.686569	0.126531	0.899312	0.924756
OllieOakHunt	17	16	13.2685	2.90152	0.445671	4.04118	0.663424	1.60358	0.108806	0.36884
Nightwing	17	14	12.5902	3.23512	0.426614	4.19412	0.686109	0.783836	0.433136	0.731654
Player_nexk96	16	14	11.7255	3.08357	0.421063	4.18125	0.684846	1.29528	0.195225	0.528535
jyin	16	10	10.5774	3.56437	0.453905	4.18125	0.653826	-0.305837	0.759729	0.851817
pencil	16	4	5.01251	3.39418	0.446636	4.44375	0.744183	-0.549578	0.582609	0.769876
tingting	15	12	11.1356	2.85871	0.435745	4.12	0.668441	0.511231	0.60919	0.786279
JackGP	15	2	3.2807	2.55765	0.516435	4.32	0.692887	-0.800803	0.423246	0.731654
imwashed	15	5	4.42772	3.07666	0.502203	4.42667	0.727854	0.326265	0.744224	0.842947
